category,rank,region,event_id,start_date,end_date,duration_days,max_intensity_c,before_dates,during_dates,after_dates,output_dir
longest,1,South,S25,2024-06-14,2024-09-02,81,0.4631,"2024-06-09, 2024-06-10, 2024-06-11, 2024-06-12, 2024-06-13","2024-08-13, 2024-08-14, 2024-08-15, 2024-08-16, 2024-08-17","2024-09-03, 2024-09-04, 2024-09-05, 2024-09-06, 2024-09-07",/home/samyak/mrc_ws/outputs/publication/figures/07_top5_triptychs/longest/rank01_South_S25_2024-06-14
longest,2,South,S27,2024-10-29,2025-01-16,79,0.62,"2024-10-24, 2024-10-25, 2024-10-26, 2024-10-27, 2024-10-28","2024-11-16, 2024-11-17, 2024-11-18, 2024-11-19, 2024-11-20","2025-01-17, 2025-01-18, 2025-01-19, 2025-01-20, 2025-01-21",/home/samyak/mrc_ws/outputs/publication/figures/07_top5_triptychs/longest/rank02_South_S27_2024-10-29
longest,3,North,N43,2025-01-22,2025-03-23,61,0.4837,"2025-01-17, 2025-01-18, 2025-01-19, 2025-01-20, 2025-01-21","2025-02-04, 2025-02-05, 2025-02-06, 2025-02-07, 2025-02-08","2025-03-24, 2025-03-25, 2025-03-26, 2025-03-27, 2025-03-28",/home/samyak/mrc_ws/outputs/publication/figures/07_top5_triptychs/longest/rank03_North_N43_2025-01-22
longest,4,Central,C36,2024-10-28,2024-12-19,53,0.2997,"2024-10-23, 2024-10-24, 2024-10-25, 2024-10-26, 2024-10-27","2024-10-30, 2024-10-31, 2024-11-01, 2024-11-02, 2024-11-03","2024-12-20, 2024-12-21, 2024-12-22, 2024-12-23, 2024-12-24",/home/samyak/mrc_ws/outputs/publication/figures/07_top5_triptychs/longest/rank04_Central_C36_2024-10-28
longest,5,North,N36,2024-04-07,2024-05-25,49,0.9122,"2024-04-02, 2024-04-03, 2024-04-04, 2024-04-05, 2024-04-06","2024-05-19, 2024-05-20, 2024-05-21, 2024-05-22, 2024-05-23","2024-05-26, 2024-05-27, 2024-05-28, 2024-05-29, 2024-05-30",/home/samyak/mrc_ws/outputs/publication/figures/07_top5_triptychs/longest/rank05_North_N36_2024-04-07
