Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,53.0,0.9710204388230526,46.0,0.6969973954494079
El Nino vs La Nina,45.5,1.0,38.0,0.5880288957688339
Neutral vs La Nina,28.0,1.0,25.0,0.778865578865579
