Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,43.5,0.5508690420798961,31.0,0.14025259226497616
El Nino vs La Nina,96.0,0.5529716625236756,86.0,0.33880544633669024
Neutral vs La Nina,180.5,0.9775282418972925,219.0,0.3064943788545432
