DOY,Threshold90
1,28.8778939
2,28.875141
3,28.862145
4,28.8418068
5,28.827822599999998
6,28.870150799999998
7,28.8875666
8,29.023111500000002
9,28.9075002
10,28.900207
11,28.881518600000003
12,28.870127800000002
13,28.8971474
14,28.910835900000002
15,28.9173456
16,28.8581058
17,28.825603599999997
18,28.8172685
19,28.8190117
20,28.823448799999998
21,28.8294466
22,28.8250098
23,28.8196397
24,28.7510619
25,28.765076299999997
26,28.7635854
27,28.8537106
28,28.9021458
29,28.9671068
30,28.967138600000002
31,28.896293200000002
32,28.9078777
33,28.9104903
34,28.88266
35,28.883872099999998
36,28.8882863
37,28.8512741
38,28.8502836
39,28.8937652
40,28.937946500000002
41,28.913417600000002
42,28.898992900000003
43,28.8922176
44,28.8666048
45,28.9514578
46,28.8988268
47,28.9520731
48,28.9640657
49,29.0216945
50,29.0404574
51,29.042980500000002
52,29.1451251
53,29.026949700000003
54,29.067847699999998
55,29.1115267
56,29.1761906
57,29.137253400000002
58,29.143745
59,29.204456200000003
60,29.1936751
61,29.2061206
62,29.2789174
63,29.452430800000002
64,29.3907268
65,29.4860033
66,29.441674600000002
67,29.467366000000002
68,29.4304312
69,29.3724209
70,29.3575054
71,29.398096900000002
72,29.4408594
73,29.447944
74,29.4912858
75,29.570509400000002
76,29.5107401
77,29.5508719
78,29.586474000000003
79,29.6683092
80,29.6925251
81,29.746878
82,29.7591997
83,29.7757862
84,29.8037559
85,29.9277322
86,29.9837407
87,30.0517914
88,30.1043857
89,30.1586888
90,30.2351543
91,30.2302355
92,30.3531729
93,30.2606717
94,30.222403999999997
95,30.2300511
96,30.3061106
97,30.4846451
98,30.424707
99,30.4290772
100,30.5013505
101,30.6313113
102,30.6634724
103,30.644678600000002
104,30.6846637
105,30.7158866
106,30.7860377
107,30.8796088
108,30.9575461
109,31.0313518
110,31.037410400000002
111,30.9065931
112,30.977899700000002
113,31.0848257
114,31.0827084
115,31.0857812
116,31.138931
117,31.031575
118,31.0890292
119,31.2092773
120,31.1689631
121,31.1260947
122,31.1557321
123,31.0973105
124,31.0393592
125,30.9873234
126,30.874341200000003
127,31.0547096
128,31.0592045
129,30.9375458
130,31.0404652
131,31.1184341
132,31.1448918
133,31.2469055
134,31.2453715
135,31.1150428
136,31.1350382
137,31.0446964
138,30.8579616
139,30.8135387
140,30.8058945
141,30.7762898
142,30.6819004
143,30.5808368
144,30.5159108
145,30.4368015
146,30.367076
147,30.3143086
148,30.2763624
149,30.212429699999998
150,30.1691127
151,30.1189253
152,30.1091328
153,30.036107
154,30.1471402
155,30.0630828
156,29.9950576
157,29.9794729
158,29.9435721
159,29.9306359
160,29.8813116
161,29.8476158
162,29.853084600000003
163,29.8452106
164,29.805075900000002
165,29.7867085
166,29.7656215
167,29.713501100000002
168,29.6799307
169,29.6637988
170,29.653598600000002
171,29.705344999999998
172,29.690849200000002
173,29.6592971
174,29.6004348
175,29.595559
176,29.5981256
177,29.560219500000002
178,29.5666844
179,29.5993706
180,29.578706800000003
181,29.594954700000002
182,29.561508300000003
183,29.578644500000003
184,29.5737616
185,29.5212131
186,29.500163
187,29.5500597
188,29.6145554
189,29.5996242
190,29.5628349
191,29.6064517
192,29.613450500000003
193,29.5588625
194,29.5172788
195,29.4954702
196,29.541217099999997
197,29.5690302
198,29.554589800000002
199,29.4999259
200,29.5115637
201,29.5078948
202,29.4438619
203,29.4224783
204,29.435641
205,29.4371011
206,29.4420224
207,29.4312104
208,29.4330259
209,29.3914581
210,29.3579899
211,29.364986
212,29.3358533
213,29.3034164
214,29.2575127
215,29.1819023
216,29.2091556
217,29.167745
218,29.138893
219,29.156996099999997
220,29.1305542
221,29.118370900000002
222,29.0720858
223,29.0689599
224,29.0986401
225,29.0964656
226,29.0937183
227,29.079218400000002
228,29.0615815
229,29.058560500000002
230,29.165211900000003
231,29.279157299999998
232,29.2429424
233,29.206880899999998
234,29.2494595
235,29.298418599999998
236,29.33033
237,29.3435507
238,29.3777502
239,29.4586437
