Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,38.0,0.5623719669710694,31.0,0.959129759129759
El Nino vs La Nina,128.0,0.16888743617958635,77.0,0.4284156184934829
Neutral vs La Nina,104.5,0.7261770348228082,82.0,0.5641314661114439
