Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
El Nino,8,16.625,16.0,8.365533028871672,26,0.12868414617235335,0.3875133709677385
Neutral,8,16.25,9.5,14.694508206420908,44,0.15430289545956383,0.9075480967741923
La Nina,24,13.25,9.5,10.947503189629886,53,0.16586172724830067,0.8421781741935526
