Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
El Nino,13,18.0,15.0,13.335416503931677,44,0.13689472888519602,0.4830745806451588
Neutral,8,22.625,12.5,26.267511166023,81,0.18014144535838272,0.9428967677419352
La Nina,7,22.857142857142858,12.0,26.40346297633811,79,0.1637115853820675,0.6199571483870976
