Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
Positive,13,14.76923076923077,9.0,12.91739038501873,49,0.16886988336993924,0.9121927741935528
Neutral,30,13.133333333333333,10.0,10.582136324740969,61,0.17691705288204318,0.791831138709675
Negative,1,5.0,5.0,,5,0.0507263948387084,0.1037909580645148
