Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,Wind_30d_Before,Wind_21d_Before,Wind_14d_Before,Wind_7d_Before,Wind_During,Change_30d,Change_21d,Change_14d,Change_7d
2010-03-04,2010-03-10,7,0.0726103230414751,0.1525766096774212,3.8891705233333336,3.850978971428572,3.767129328571429,3.7379241285714286,3.3973485333333335,-0.49182199000000004,-0.4536304380952383,-0.36978079523809537,-0.3405755952380951
2010-03-28,2010-04-03,7,0.0862846336405509,0.1486364580645158,3.47149656,3.391396161904762,3.1943019428571433,2.7316335285714284,3.1596268999999997,-0.31186966000000016,-0.2317692619047622,-0.03467504285714362,0.4279933714285713
2010-04-10,2010-04-20,11,0.0937927199413499,0.1603686612903239,3.2045402800000002,2.9344933190476192,3.0111147,2.945280342857143,2.7605852,-0.4439550800000003,-0.17390811904761927,-0.25052949999999985,-0.18469514285714306
2010-04-22,2010-04-26,5,0.0833653348387102,0.1144411258064543,2.91997311,2.982190171428571,2.884709792857143,2.7669856714285714,3.27247485,0.3525017400000001,0.29028467857142903,0.38776505714285703,0.5054891785714286
2010-05-11,2010-05-16,6,0.1459031672043007,0.2916165709677436,2.9337720533333336,2.97097210952381,2.827996164285714,3.2677165571428572,5.0680247199999995,2.134252666666666,2.0970526104761893,2.2400285557142854,1.8003081628571422
2015-06-10,2015-06-14,5,0.0374042612903245,0.0732523580645185,4.071114113333333,4.03394879047619,3.6610228857142855,3.3709928142857146,4.15367565,0.08256153666666766,0.11972685952381035,0.4926527642857148,0.7826828357142857
2015-09-05,2015-09-13,9,0.0729549867383505,0.1961704193548392,5.009002523333335,4.612155733333334,4.740946885714285,4.4787161285714285,4.240549025,-0.7684534983333347,-0.3716067083333341,-0.5003978607142852,-0.23816710357142856
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,4.658433466666667,4.265463947619048,3.9599005571428565,3.7324093571428567,2.7574527772727273,-1.9009806893939394,-1.5080111703463204,-1.2024477798701292,-0.9749565798701294
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,3.84674021,3.5370056476190475,3.7605007,3.8135934571428574,4.146279834210527,0.29953962421052704,0.6092741865914797,0.385779134210527,0.3326863770676698
2016-01-19,2016-02-02,15,0.1355258180645165,0.2429977322580683,4.433564203333333,4.444792761904763,4.2727055,4.1207695285714285,4.256459814285713,-0.17710438904761983,-0.18833294761904984,-0.01624568571428675,0.13569028571428454
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,2.868888953333333,2.632362642857143,2.548226878571428,2.3105970000000005,3.5899373161290327,0.7210483627956998,0.9575746732718895,1.0417104375576045,1.2793403161290322
2017-11-16,2017-11-20,5,0.0386395929032296,0.0686327709677456,4.352606793333333,4.432719371428571,4.77906677142857,4.963583928571429,2.444284475,-1.908322318333333,-1.9884348964285712,-2.3347822964285703,-2.5192994535714295
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,3.7758348900000005,3.9854021142857143,3.9304742500000005,3.6435230714285716,3.0993819499999997,-0.6764529400000008,-0.8860201642857146,-0.8310923000000008,-0.5441411214285719
2019-04-17,2019-04-23,7,0.1018800566820274,0.207298612903223,2.714706256666667,2.5882276476190476,2.5228114285714285,2.501135885714286,3.3255770833333336,0.6108708266666665,0.737349435714286,0.8027656547619051,0.8244411976190475
2019-07-07,2019-07-20,14,0.1524633806451605,0.2827658290322574,5.546166096666667,5.7974960285714285,5.598434071428571,5.272310028571428,4.824757607692307,-0.7214084889743599,-0.9727384208791214,-0.7736764637362636,-0.44755242087912084
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,4.554203233333333,4.2107626,3.643127735714285,3.013629357142857,2.9637137666666664,-1.590489466666667,-1.2470488333333334,-0.6794139690476184,-0.04991559047619054
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,4.496079319999999,4.2641757714285715,4.084447278571429,4.268338142857143,4.599573727272727,0.10349440727272796,0.3353979558441553,0.5151264487012979,0.3312355844155839
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,4.968613966666667,5.307776961904763,4.824923814285715,4.390915442857143,4.475617841935484,-0.49299612473118337,-0.8321591199692788,-0.34930597235023164,0.0847023990783411
