Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase
2010-03-04,2010-03-10,7,0.0726103230414751,0.1525766096774212,0.8399999737739563,1.2200000286102295,1.5,1.559999942779541,0.7099999785423279,El Nino
2010-03-28,2010-04-03,7,0.0862846336405509,0.1486364580645158,0.8399999737739563,1.2200000286102295,1.5,1.559999942779541,0.7099999785423279,El Nino
2010-04-10,2010-04-20,11,0.0937927199413499,0.1603686612903239,0.3499999940395355,0.8399999737739563,1.2200000286102295,1.5,1.0099999904632568,Neutral
2010-04-22,2010-04-26,5,0.0833653348387102,0.1144411258064543,0.3499999940395355,0.8399999737739563,1.2200000286102295,1.5,1.0099999904632568,Neutral
2010-05-11,2010-05-16,6,0.1459031672043007,0.2916165709677436,-0.1700000017881393,0.3499999940395355,0.8399999737739563,1.2200000286102295,1.3600000143051147,Neutral
2015-06-10,2015-06-14,5,0.0374042612903245,0.0732523580645185,1.25,1.0199999809265137,0.8100000023841858,0.6499999761581421,0.7699999809265137,El Nino
2015-09-05,2015-09-13,9,0.0729549867383505,0.1961704193548392,2.2100000381469727,1.909999966621399,1.5700000524520874,1.25,0.6499999761581421,El Nino
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,2.470000028610229,2.2100000381469727,1.909999966621399,1.5700000524520874,0.8100000023841858,El Nino
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,2.75,2.640000104904175,2.470000028610229,2.2100000381469727,1.25,El Nino
2016-01-19,2016-02-02,15,0.1355258180645165,0.2429977322580683,2.630000114440918,2.75,2.640000104904175,2.470000028610229,1.5700000524520874,El Nino
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,1.0499999523162842,1.7100000381469729,2.2799999713897705,2.630000114440918,2.470000028610229,El Nino
2017-11-16,2017-11-20,5,0.0386395929032296,0.0686327709677456,-0.7699999809265137,-0.6000000238418579,-0.3400000035762787,-0.0700000002980232,0.4000000059604645,La Nina
2019-03-04,2019-03-08,5,0.2130584129032257,0.3008829967741953,0.8399999737739563,0.8600000143051147,0.8899999856948853,0.9200000166893004,0.5299999713897705,El Nino
2019-04-17,2019-04-23,7,0.1018800566820274,0.207298612903223,0.7699999809265137,0.8399999737739563,0.8600000143051147,0.8899999856948853,0.8100000023841858,El Nino
2019-07-07,2019-07-20,14,0.1524633806451605,0.2827658290322574,0.3300000131130218,0.5199999809265137,0.6399999856948853,0.7699999809265137,0.8899999856948853,Neutral
2019-10-04,2019-10-19,16,0.1785638997983865,0.3614551580645155,0.3899999856948852,0.2300000041723251,0.1899999976158142,0.3300000131130218,0.7699999809265137,Neutral
2020-07-18,2020-07-29,12,0.2119671188172057,0.3314167967741923,-0.3600000143051147,-0.2300000041723251,0.0099999997764825,0.3000000119209289,0.6399999856948853,Neutral
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,-0.5299999713897705,-0.3600000143051147,-0.2300000041723251,0.0099999997764825,0.6299999952316284,La Nina
2021-05-11,2021-05-19,9,0.1561603580645159,0.4482937419354798,-0.3899999856948852,-0.550000011920929,-0.7099999785423279,-0.7900000214576721,-1.2000000476837158,Neutral
2023-08-23,2023-08-31,9,0.0713251602150531,0.1878571129032273,1.3700000047683716,1.1200000047683716,0.8399999737739563,0.5699999928474426,-0.2899999916553497,El Nino
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,1.9900000095367432,1.830000042915344,1.600000023841858,1.3700000047683716,0.5699999928474426,El Nino
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,1.919999957084656,2.059999942779541,1.9900000095367432,1.830000042915344,1.1200000047683716,El Nino
2024-03-28,2024-04-11,15,0.2428857410752691,0.4830745806451588,1.2599999904632568,1.6200000047683716,1.919999957084656,2.059999942779541,1.600000023841858,El Nino
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,0.8199999928474426,1.2599999904632568,1.6200000047683716,1.919999957084656,1.830000042915344,El Nino
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,0.2199999988079071,0.4900000095367431,0.8199999928474426,1.2599999904632568,2.059999942779541,Neutral
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,-0.1700000017881393,-0.0700000002980232,0.0799999982118606,0.2199999988079071,1.2599999904632568,Neutral
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,-0.209999993443489,-0.1700000017881393,-0.0700000002980232,0.0799999982118606,0.8199999928474426,Neutral
2025-10-13,2025-10-18,6,0.0880718720430101,0.1541723838709714,-0.5099999904632568,-0.4000000059604645,-0.2800000011920929,-0.1400000005960464,0.0199999995529651,La Nina
