Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,ONI_0m,ONI_1m,ONI_2m,ONI_3m,ONI_6m,ENSO_Phase
2006-03-06,2006-03-11,6,0.0699810010752699,0.1418800064516148,-0.5699999928474426,-0.7699999809265137,-0.8500000238418579,-0.8399999737739563,-0.1099999994039535,La Nina
2008-10-13,2008-10-18,6,0.0242448462365576,0.0560024935483873,-0.3499999940395355,-0.2399999946355819,-0.2300000041723251,-0.3700000047683716,-1.0099999904632568,Neutral
2009-11-14,2009-11-20,7,0.0863886460829489,0.1618855193548363,1.3600000143051147,1.0099999904632568,0.7099999785423279,0.5799999833106995,0.0099999997764825,El Nino
2010-03-16,2010-03-22,7,0.054277692626728,0.1173279161290352,0.8399999737739563,1.2200000286102295,1.5,1.559999942779541,0.7099999785423279,El Nino
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298,0.2300000041723251,0.3100000023841858,0.1500000059604644,-0.1400000005960464,-0.1500000059604644,Neutral
2016-02-18,2016-03-03,15,0.2163602610752692,0.4010841774193601,2.2799999713897705,2.630000114440918,2.75,2.640000104904175,1.909999966621399,El Nino
2016-03-06,2016-03-28,23,0.1550480144460032,0.3465208903225836,1.7100000381469729,2.2799999713897705,2.630000114440918,2.75,2.2100000381469727,El Nino
2016-08-26,2016-08-30,5,0.0507263948387084,0.1037909580645148,-0.5,-0.3100000023841858,0.0,0.4900000095367431,2.2799999713897705,La Nina
2017-01-01,2017-01-07,7,0.146624434914126,0.206155082352943,-0.1899999976158142,-0.449999988079071,-0.6000000238418579,-0.6399999856948853,-0.3100000023841858,Neutral
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291,0.5299999713897705,0.270000010728836,0.1400000005960464,0.0599999986588954,-0.5699999928474426,El Nino
2019-06-24,2019-06-29,6,0.0772094075268832,0.107251825806454,0.5199999809265137,0.6399999856948853,0.7699999809265137,0.8399999737739563,0.9200000166893004,El Nino
2019-10-17,2019-10-31,15,0.3160635933333326,0.6210531838709628,0.3899999856948852,0.2300000041723251,0.1899999976158142,0.3300000131130218,0.7699999809265137,Neutral
2020-05-11,2020-05-17,7,0.2228268479262663,0.32248381935484,0.0099999997764825,0.3000000119209289,0.5299999713897705,0.6299999952316284,0.5799999833106995,Neutral
2020-06-24,2020-07-05,12,0.100374485483871,0.2049202870967761,-0.2300000041723251,0.0099999997764825,0.3000000119209289,0.5299999713897705,0.6600000262260437,Neutral
2020-07-08,2020-07-13,6,0.0793521005376357,0.1496445096774188,-0.3600000143051147,-0.2300000041723251,0.0099999997764825,0.3000000119209289,0.6399999856948853,Neutral
2020-07-25,2020-08-13,20,0.2484124362903221,0.5033501387096777,-0.3600000143051147,-0.2300000041723251,0.0099999997764825,0.3000000119209289,0.6399999856948853,Neutral
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,-0.8500000238418579,-0.5299999713897705,-0.3600000143051147,-0.2300000041723251,0.5299999713897705,La Nina
2021-01-07,2021-01-29,23,0.1192075750903569,0.3130162857142835,-0.9100000262260436,-1.0800000429153442,-1.2000000476837158,-1.1200000047683716,-0.3600000143051147,La Nina
2021-05-08,2021-05-23,16,0.2496937469758062,0.4772617741935505,-0.3899999856948852,-0.550000011920929,-0.7099999785423279,-0.7900000214576721,-1.2000000476837158,Neutral
2021-07-15,2021-07-20,6,0.0316215397849474,0.0483912935483878,-0.3499999940395355,-0.3000000119209289,-0.3899999856948852,-0.550000011920929,-0.9100000262260436,Neutral
2021-08-31,2021-09-05,6,0.1580478387096775,0.2706704322580684,-0.449999988079071,-0.3499999940395355,-0.3000000119209289,-0.3899999856948852,-0.7900000214576721,Neutral
2021-10-06,2021-10-12,7,0.1451470981566827,0.2997949129032271,-0.7599999904632568,-0.6299999952316284,-0.449999988079071,-0.3499999940395355,-0.550000011920929,La Nina
2021-11-17,2021-11-28,12,0.063558472311828,0.0938992419354818,-0.9100000262260436,-0.7599999904632568,-0.6299999952316284,-0.449999988079071,-0.3899999856948852,La Nina
2021-12-03,2021-12-15,13,0.1603107506203471,0.2475553838709672,-0.8700000047683716,-0.9100000262260436,-0.7599999904632568,-0.6299999952316284,-0.3000000119209289,La Nina
2022-01-01,2022-01-06,6,0.1029862217937527,0.2027816062499994,-0.8199999928474426,-0.8700000047683716,-0.9100000262260436,-0.7599999904632568,-0.3499999940395355,La Nina
2022-07-27,2022-08-08,13,0.427123138709678,0.791831138709675,-0.7599999904632568,-0.7799999713897705,-0.8999999761581421,-0.949999988079071,-0.8199999928474426,La Nina
2022-08-29,2022-09-11,14,0.491046052534562,0.7155913999999974,-0.8700000047683716,-0.7599999904632568,-0.7799999713897705,-0.8999999761581421,-0.7900000214576721,La Nina
2023-01-01,2023-01-06,6,0.1497262217937525,0.248802606249999,-0.5400000214576721,-0.7099999785423279,-0.8500000238418579,-0.9399999976158142,-0.7599999904632568,La Nina
2023-04-11,2023-05-11,31,0.2531448370447453,0.4868632516129096,0.270000010728836,-0.0199999995529651,-0.2899999916553497,-0.5400000214576721,-0.9399999976158142,Neutral
2023-05-28,2023-06-21,25,0.1940704358709661,0.3888792387096806,0.5699999928474426,0.270000010728836,-0.0199999995529651,-0.2899999916553497,-0.8500000238418579,El Nino
2023-06-30,2023-07-06,7,0.1878730447004609,0.3151792967741897,0.8399999737739563,0.5699999928474426,0.270000010728836,-0.0199999995529651,-0.7099999785423279,El Nino
2023-08-30,2023-09-03,5,0.0736609045161294,0.1329720354838706,1.3700000047683716,1.1200000047683716,0.8399999737739563,0.5699999928474426,-0.2899999916553497,El Nino
2023-10-10,2023-10-21,12,0.1652901744623654,0.2719997064516128,1.830000042915344,1.600000023841858,1.3700000047683716,1.1200000047683716,0.270000010728836,El Nino
2023-11-03,2023-11-09,7,0.1145240580645148,0.1689794129032229,1.9900000095367432,1.830000042915344,1.600000023841858,1.3700000047683716,0.5699999928474426,El Nino
2023-12-03,2023-12-09,7,0.0939239815668204,0.1664118709677424,2.059999942779541,1.9900000095367432,1.830000042915344,1.600000023841858,0.8399999737739563,El Nino
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935528,0.8199999928474426,1.2599999904632568,1.6200000047683716,1.919999957084656,1.830000042915344,El Nino
2024-05-30,2024-06-06,8,0.1223167721774203,0.2883897354838716,0.4900000095367431,0.8199999928474426,1.2599999904632568,1.6200000047683716,1.9900000095367432,Neutral
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479,-0.209999993443489,-0.1700000017881393,-0.0700000002980232,0.0799999982118606,0.8199999928474426,Neutral
2024-10-30,2024-11-08,10,0.0674375983870962,0.1230774129032248,-0.209999993443489,-0.1700000017881393,-0.0700000002980232,0.0799999982118606,0.8199999928474426,Neutral
2024-11-10,2024-11-17,8,0.1177348536290323,0.2125665677419377,-0.3000000119209289,-0.209999993443489,-0.1700000017881393,-0.0700000002980232,0.4900000095367431,Neutral
2024-11-30,2024-12-12,13,0.1210076367245655,0.2257198612903259,-0.3000000119209289,-0.209999993443489,-0.1700000017881393,-0.0700000002980232,0.4900000095367431,Neutral
2025-01-01,2025-01-19,19,0.1455950015162347,0.4393796062500001,-0.449999988079071,-0.4199999868869781,-0.3000000119209289,-0.209999993443489,0.0799999982118606,Neutral
2025-01-22,2025-03-23,61,0.2272734505023797,0.4836931387096754,-0.449999988079071,-0.4199999868869781,-0.3000000119209289,-0.209999993443489,0.0799999982118606,Neutral
2025-03-29,2025-04-07,10,0.1218551390322591,0.1990950612903184,-0.0599999986588954,-0.2399999946355819,-0.449999988079071,-0.4199999868869781,-0.1700000017881393,Neutral
2025-05-12,2025-05-18,7,0.1420918479262667,0.2211309096774165,-0.0199999995529651,0.0199999995529651,-0.0599999986588954,-0.2399999946355819,-0.3000000119209289,Neutral
2025-07-19,2025-07-23,5,0.1800355361290314,0.2362101387096764,-0.1400000005960464,-0.0399999991059303,-0.0199999995529651,0.0199999995529651,-0.449999988079071,Neutral
2025-08-03,2025-08-17,15,0.2619571511827951,0.4766034870967743,-0.2800000011920929,-0.1400000005960464,-0.0399999991059303,-0.0199999995529651,-0.2399999946355819,Neutral
2025-09-17,2025-09-21,5,0.1608681232258057,0.2048523612903174,-0.4000000059604645,-0.2800000011920929,-0.1400000005960464,-0.0399999991059303,-0.0599999986588954,Neutral
2025-10-19,2025-11-03,16,0.1466296612903228,0.2870568064516128,-0.5099999904632568,-0.4000000059604645,-0.2800000011920929,-0.1400000005960464,0.0199999995529651,La Nina
