Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_1m,MEI_Phase_2m,MEI_Phase_3m,MEI_Phase_6m
2020-06-24,2020-07-05,12,0.100374485483871,0.2049202870967761,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.1299999952316284,0.3600000143051147,La Nina,Neutral,Neutral,Neutral,Neutral
2020-07-08,2020-07-13,6,0.0793521005376357,0.1496445096774188,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.2399999946355819,La Nina,La Nina,Neutral,Neutral,Neutral
2020-07-25,2020-08-13,20,0.2484124362903221,0.5033501387096777,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.2399999946355819,La Nina,La Nina,Neutral,Neutral,Neutral
2020-09-03,2020-09-23,21,0.4124759290322574,0.659075399999999,-1.149999976158142,-0.959999978542328,-0.9399999976158142,-0.6800000071525574,0.1299999952316284,La Nina,La Nina,La Nina,La Nina,Neutral
2021-01-07,2021-01-29,23,0.1192075750903569,0.3130162857142835,-1.2000000476837158,-1.1399999856948853,-1.1299999952316284,-1.1699999570846558,-0.9399999976158142,La Nina,La Nina,La Nina,La Nina,La Nina
2021-05-08,2021-05-23,16,0.2496937469758062,0.4772617741935505,-1.0700000524520874,-0.949999988079071,-0.7900000214576721,-0.959999978542328,-1.1299999952316284,La Nina,La Nina,La Nina,La Nina,La Nina
2021-07-15,2021-07-20,6,0.0316215397849474,0.0483912935483878,-1.440000057220459,-1.0499999523162842,-1.0700000524520874,-0.949999988079071,-1.2000000476837158,La Nina,La Nina,La Nina,La Nina,La Nina
2021-08-31,2021-09-05,6,0.1580478387096775,0.2706704322580684,-1.2899999618530271,-1.440000057220459,-1.0499999523162842,-1.0700000524520874,-0.959999978542328,La Nina,La Nina,La Nina,La Nina,La Nina
2021-10-06,2021-10-12,7,0.1451470981566827,0.2997949129032271,-1.4600000381469729,-1.3700000047683716,-1.2899999618530271,-1.440000057220459,-0.949999988079071,La Nina,La Nina,La Nina,La Nina,La Nina
2021-11-17,2021-11-28,12,0.063558472311828,0.0938992419354818,-1.3899999856948853,-1.4600000381469729,-1.3700000047683716,-1.2899999618530271,-1.0700000524520874,La Nina,La Nina,La Nina,La Nina,La Nina
