Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,MEI_0m,MEI_1m,MEI_2m,MEI_3m,MEI_6m,MEI_Phase,MEI_Phase_1m,MEI_Phase_2m,MEI_Phase_3m,MEI_Phase_6m
2010-03-18,2010-04-11,25,0.2098763521290332,0.3414879548387119,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.949999988079071,0.4199999868869781,El Nino,El Nino,El Nino,El Nino,Neutral
2010-04-23,2010-05-03,11,0.0569952196480943,0.1158085064516143,0.4900000095367431,1.3300000429153442,1.2799999713897705,0.9300000071525574,0.5600000023841858,Neutral,El Nino,El Nino,El Nino,El Nino
2010-05-07,2010-05-18,12,0.2333294817204298,0.4567433709677395,-0.1199999973177909,0.4900000095367431,1.3300000429153442,1.2799999713897705,1.0399999618530271,Neutral,Neutral,El Nino,El Nino,El Nino
2010-09-27,2010-10-03,7,0.2004765953917058,0.2886689419354837,-2.259999990463257,-2.380000114440918,-2.4200000762939453,-1.2899999618530271,1.3300000429153442,La Nina,La Nina,La Nina,La Nina,El Nino
2015-11-21,2015-11-25,5,0.0158709148387117,0.0368145483870954,1.9299999475479128,2.150000095367432,2.240000009536743,1.950000047683716,0.949999988079071,El Nino,El Nino,El Nino,El Nino,El Nino
2016-01-01,2016-01-08,8,0.1669550552969183,0.2431145562499992,1.9299999475479128,1.9299999475479128,1.9299999475479128,2.150000095367432,1.7899999618530271,El Nino,El Nino,El Nino,El Nino,El Nino
2016-05-05,2016-05-19,15,0.2014103443010744,0.3875133709677385,1.2400000095367432,1.3200000524520874,1.3200000524520874,1.7999999523162842,1.9299999475479128,El Nino,El Nino,El Nino,El Nino,El Nino
2016-08-22,2016-08-29,8,0.0657481310483869,0.1649886999999985,-0.2599999904632568,-0.5400000214576721,0.3499999940395355,1.2400000095367432,1.7999999523162842,Neutral,La Nina,Neutral,El Nino,El Nino
2017-09-10,2017-09-15,6,0.1148459473118273,0.2394576935483883,-0.7300000190734863,-0.7200000286102295,-0.6299999952316284,-0.2300000041723251,-0.5799999833106995,La Nina,La Nina,La Nina,Neutral,La Nina
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,0.3100000023841858,0.1599999964237213,0.3199999928474426,0.3000000119209289,0.3000000119209289,Neutral,Neutral,Neutral,Neutral,Neutral
2020-05-06,2020-05-12,7,0.0605500820276496,0.1721145290322567,-0.2300000041723251,-0.1500000059604644,0.1299999952316284,0.2599999904632568,0.4699999988079071,Neutral,Neutral,Neutral,Neutral,Neutral
2020-06-23,2020-07-02,10,0.0815466109677412,0.1329350451612896,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.1299999952316284,0.3600000143051147,La Nina,Neutral,Neutral,Neutral,Neutral
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,-0.1500000059604644,0.2399999946355819,La Nina,La Nina,Neutral,Neutral,Neutral
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,-0.959999978542328,-0.9399999976158142,-0.6800000071525574,-0.2300000041723251,0.2599999904632568,La Nina,La Nina,La Nina,Neutral,Neutral
2021-01-07,2021-01-15,9,0.0302630636293442,0.0558066319999994,-1.2000000476837158,-1.1399999856948853,-1.1299999952316284,-1.1699999570846558,-0.9399999976158142,La Nina,La Nina,La Nina,La Nina,La Nina
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585,-1.0700000524520874,-0.949999988079071,-0.7900000214576721,-0.959999978542328,-1.1299999952316284,La Nina,La Nina,La Nina,La Nina,La Nina
2021-06-02,2021-06-08,7,0.212865931336406,0.3230665516129072,-1.0499999523162842,-1.0700000524520874,-0.949999988079071,-0.7900000214576721,-1.1399999856948853,La Nina,La Nina,La Nina,La Nina,La Nina
2021-07-04,2021-07-08,5,0.0772426858064541,0.2008217806451604,-1.440000057220459,-1.0499999523162842,-1.0700000524520874,-0.949999988079071,-1.2000000476837158,La Nina,La Nina,La Nina,La Nina,La Nina
2022-01-22,2022-01-29,8,0.0742309411290338,0.1255445870967761,-1.0099999904632568,-1.2000000476837158,-1.3899999856948853,-1.4600000381469729,-1.440000057220459,La Nina,La Nina,La Nina,La Nina,La Nina
2022-03-27,2022-04-02,7,0.1055733511520732,0.1622486161290339,-1.309999942779541,-0.9800000190734864,-1.0099999904632568,-1.2000000476837158,-1.3700000047683716,La Nina,La Nina,La Nina,La Nina,La Nina
2022-04-22,2022-05-05,14,0.1377281096774196,0.2287147387096766,-1.600000023841858,-1.309999942779541,-0.9800000190734864,-1.0099999904632568,-1.4600000381469729,La Nina,La Nina,La Nina,La Nina,La Nina
2022-06-29,2022-07-04,6,0.0530952000000013,0.1086242387096767,-1.899999976158142,-1.6299999952316284,-1.600000023841858,-1.309999942779541,-1.2000000476837158,La Nina,La Nina,La Nina,La Nina,La Nina
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551,-2.1700000762939453,-1.899999976158142,-1.6299999952316284,-1.600000023841858,-1.0099999904632568,La Nina,La Nina,La Nina,La Nina,La Nina
2022-08-28,2022-09-06,10,0.2365157603225793,0.4335852096774175,-1.75,-2.1700000762939453,-1.899999976158142,-1.6299999952316284,-0.9800000190734864,La Nina,La Nina,La Nina,La Nina,La Nina
2023-05-04,2023-05-09,6,0.1544696059139774,0.3443401096774181,-0.0599999986588954,-0.3600000143051147,-0.7599999904632568,-0.9100000262260436,-1.5299999713897705,Neutral,Neutral,La Nina,La Nina,La Nina
2023-05-31,2023-06-06,7,0.0267676981566822,0.0475257903225809,-0.0599999986588954,-0.3600000143051147,-0.7599999904632568,-0.9100000262260436,-1.5299999713897705,Neutral,Neutral,La Nina,La Nina,La Nina
2023-11-04,2023-11-29,26,0.088796441935485,0.2644608838709708,0.9100000262260436,0.4799999892711639,0.6899999976158142,0.5099999904632568,-0.0599999986588954,El Nino,Neutral,El Nino,El Nino,Neutral
2023-12-07,2023-12-23,17,0.0982123543370902,0.2300287354838701,1.1299999952316284,0.9100000262260436,0.4799999892711639,0.6899999976158142,0.4300000071525574,El Nino,El Nino,Neutral,El Nino,Neutral
2024-01-01,2024-01-11,11,0.1532108770119778,0.2531095562499992,0.699999988079071,1.1299999952316284,0.9100000262260436,0.4799999892711639,0.5099999904632568,El Nino,El Nino,El Nino,Neutral,El Nino
2024-01-24,2024-02-18,26,0.0951408295285363,0.2722620870967738,0.699999988079071,1.1299999952316284,0.9100000262260436,0.4799999892711639,0.5099999904632568,El Nino,El Nino,El Nino,Neutral,El Nino
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741923,0.3400000035762787,0.7799999713897705,0.6800000071525574,0.699999988079071,0.4799999892711639,Neutral,El Nino,El Nino,El Nino,Neutral
2024-07-08,2024-07-13,6,0.0651807682795713,0.1303017677419369,-0.7200000286102295,-0.2399999946355819,0.1199999973177909,0.3400000035762787,0.699999988079071,La Nina,Neutral,Neutral,Neutral,El Nino
2024-08-09,2024-08-28,20,0.2428046654838697,0.355407532258063,-0.7300000190734863,-0.7200000286102295,-0.2399999946355819,0.1199999973177909,0.6800000071525574,La Nina,La Nina,Neutral,Neutral,El Nino
2024-09-27,2024-10-02,6,0.22267299032258,0.4511085483870936,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,-0.2399999946355819,0.7799999713897705,La Nina,La Nina,La Nina,Neutral,El Nino
2024-10-05,2024-10-21,17,0.1953763377609117,0.3326565645161317,-0.5099999904632568,-0.6499999761581421,-0.7300000190734863,-0.7200000286102295,0.3400000035762787,La Nina,La Nina,La Nina,La Nina,Neutral
