Date,HeatFlux
2010-02-22,-147292.44
2010-03-01,-158587.83
2010-03-08,-177228.8
2010-03-15,-160508.81
2010-03-22,-167608.64
2010-03-29,-154504.27
2010-04-01,-151187.5
2010-04-08,-189414.34
2010-04-15,-206401.14
2010-04-22,-198327.88
2010-04-29,-191996.8
2010-05-01,-189262.75
2010-05-08,-191267.08
2010-05-15,-206507.33
2010-05-22,-95218.07
2010-05-29,-106013.22
2010-06-01,-109948.58
2010-06-08,-120205.5
2010-06-15,-74403.02
2010-06-22,-75291.945
2010-06-29,-63325.168
2010-07-01,-56037.9
2010-07-08,-73712.164
2010-07-15,-67960.21
2010-07-22,-50795.234
2010-07-29,-45364.754
2010-08-01,-48694.88
2010-08-08,-66635.09
2010-08-15,-48699.434
2010-08-22,-52908.633
2010-08-29,-59999.05
2010-09-01,-46956.402
2010-09-08,-50844.176
2010-09-15,-39336.684
2010-09-22,-64497.316
2010-09-29,-56354.5
2010-10-01,-69335.25
2010-10-08,-35220.906
2010-10-15,-24626.447
2010-10-22,-37440.8
2010-10-29,-60834.523
2010-11-01,-52410.246
2010-11-08,-50279.562
2010-11-15,-71127.13
2010-11-22,-75006.71
2010-11-29,-77372.78
2010-12-01,-83079.195
2010-12-08,-45860.973
2010-12-15,-81361.96
2010-12-22,-85777.836
2010-12-29,-89824.9
2011-01-01,-81974.79
2011-01-08,-83406.45
2011-01-15,-83948.67
2011-01-22,-110309.56
2011-01-29,-106751.04
2011-02-01,-112521.08
2011-02-08,-120439.34
2011-02-15,-127922.51
2011-02-22,-142608.98
2011-03-01,-142227.34
2011-03-08,-152728.27
2011-03-15,-132498.89
2011-03-22,-166928.84
2011-03-29,-129816.086
2011-04-01,-149270.72
2011-04-08,-173971.73
2011-04-15,-183498.55
2011-04-22,-158962.39
2011-04-29,-125842.33
2011-05-01,-120524.99
2011-05-08,-126330.67
2011-05-15,-120049.2
2011-05-22,-103816.62
2011-05-29,-81219.31
2011-06-01,-95498.66
2011-06-08,-84218.05
2011-06-15,-44115.348
2011-06-22,-51723.938
2011-06-29,-37313.844
2011-07-01,-45392.992
2011-07-08,-68759.59
2011-07-15,-36786.78
2011-07-22,-16525.094
2011-07-29,-77295.61
2011-08-01,-48690.85
2011-08-08,-17017.184
2011-08-15,-42750.87
2011-08-22,-51056.766
2011-08-29,-59509.99
2011-09-01,-39532.24
2011-09-08,-21086.979
2011-09-15,-28917.223
2011-09-22,-29559.154
2011-09-29,-42509.69
2011-10-01,-36808.652
2011-10-08,-66796.92
2011-10-15,-61839.94
2011-10-22,-67948.44
2011-10-29,-73824.82
2011-11-01,-77390.375
2011-11-08,-76455.086
2011-11-15,-80827.86
2011-11-22,-80250.91
2011-11-29,-84406.84
2011-12-01,-83224.6
2011-12-08,-81221.64
2011-12-15,-104579.26
2011-12-22,-103230.13
2011-12-29,-73086.36
2012-01-01,-56623.16
2012-01-08,-76890.14
2012-01-15,-125148.23
2012-01-22,-116970.49
2012-01-29,-97095.625
2012-02-01,-103564.94
2012-02-08,-102132.2
2012-02-15,-120144.51
2012-02-22,-132777.16
2012-02-29,-142772.22
2012-03-01,-150396.03
2012-03-08,-160161.56
2012-03-15,-179044.25
2012-03-22,-181218.83
2012-03-29,-196023.88
2012-04-01,-177938.0
2012-04-08,-166532.44
2012-04-15,-180860.11
2012-04-22,-193058.16
2012-04-29,-164578.67
2012-05-01,-172616.12
2012-05-08,-156270.52
2012-05-15,-171590.8
2012-05-22,-137480.77
2012-05-29,-125974.47
2012-06-01,-98501.086
2012-06-08,-119810.836
2012-06-15,-96241.0
2012-06-22,-13050.406
2012-06-29,-63864.73
2012-07-01,-72328.516
2012-07-08,-37359.06
2012-07-15,-40543.953
2012-07-22,-35713.555
2012-07-29,-25139.344
2012-08-01,-24539.994
2012-08-08,-31746.346
2012-08-15,-41437.984
2012-08-22,-44186.805
2012-08-29,-67314.65
2012-09-01,-56241.48
2012-09-08,-45573.992
2012-09-15,-27771.316
2012-09-22,-59085.62
2012-09-29,-62588.668
2012-10-01,-57470.535
2012-10-08,-50709.516
2012-10-15,-63682.543
2012-10-22,-68188.98
2012-10-29,-74876.03
2012-11-01,-67052.17
2012-11-08,-66050.03
2012-11-15,-66753.23
2012-11-22,-69056.08
2012-11-29,-78879.516
2012-12-01,-69899.3
2012-12-08,-77177.77
2012-12-15,-77723.87
2012-12-22,-97020.3
2012-12-29,-91145.13
2013-01-01,-86417.125
2013-01-08,-101276.99
2013-01-15,-106834.0
2013-01-22,-116947.16
2013-01-29,-116022.13
2013-02-01,-105303.54
2013-02-08,-102388.53
2013-02-15,-111623.67
2013-02-22,-134332.56
2013-03-01,-146675.77
2013-03-08,-147662.84
2013-03-15,-152709.95
2013-03-22,-169834.83
2013-03-29,-182877.55
2013-04-01,-188694.8
2013-04-08,-203810.98
2013-04-15,-190420.27
2013-04-22,-168112.89
2013-04-29,-177816.61
2013-05-01,-186257.08
2013-05-08,-135150.44
2013-05-15,-117262.4
2013-05-22,-136163.16
2013-05-29,-97740.4
2013-06-01,-121381.02
2013-06-08,-73271.984
2013-06-15,-79701.54
2013-06-22,-68853.89
2013-06-29,-22006.475
2013-07-01,-38923.88
2013-07-08,-70020.945
2013-07-15,-57087.77
2013-07-22,-56796.06
2013-07-29,-19660.332
2013-08-01,-27946.629
2013-08-08,-43338.113
2013-08-15,-60381.94
2013-08-22,-32877.914
2013-08-29,-49785.93
2013-09-01,-43657.55
2013-09-08,-48069.64
2013-09-15,-52637.258
2013-09-22,-55690.64
2013-09-29,-37071.816
2013-10-01,-35260.094
2013-10-08,-39811.12
2013-10-15,-51470.645
2013-10-22,-47631.293
2013-10-29,-47372.855
2013-11-01,-60537.523
2013-11-08,-58975.44
2013-11-15,-62879.36
2013-11-22,-58535.273
2013-11-29,-64137.84
2013-12-01,-67976.67
2013-12-08,-80226.055
2013-12-15,-84751.11
2013-12-22,-90714.766
2013-12-29,-101225.55
2014-01-01,-99873.41
2014-01-08,-110106.34
2014-01-15,-98109.87
2014-01-22,-112600.65
2014-01-29,-117696.15
2014-02-01,-122426.35
2014-02-08,-116899.01
2014-02-15,-119516.516
2014-02-22,-144969.6
2014-03-01,-135245.39
2014-03-08,-150124.7
2014-03-15,-151347.64
2014-03-22,-163798.48
2014-03-29,-161273.31
2014-04-01,-179813.83
2014-04-08,-172197.19
2014-04-15,-185645.75
2014-04-22,-192537.25
2014-04-29,-192645.34
2014-05-01,-186076.77
2014-05-08,-154207.72
2014-05-15,-161666.97
2014-05-22,-164533.92
2014-05-29,-110507.484
2014-06-01,-132281.03
2014-06-08,-104837.74
2014-06-15,-87088.02
2014-06-22,-40319.047
2014-06-29,-61589.92
2014-07-01,-50320.4
2014-07-08,-61800.33
2014-07-15,-41713.637
2014-07-22,-4164.1577
2014-07-29,-43149.496
2014-08-01,-46901.42
2014-08-08,-50612.445
2014-08-15,-37453.07
2014-08-22,-52658.5
2014-08-29,-67496.14
2014-09-01,-43357.65
2014-09-08,-53754.61
2014-09-15,-68692.43
2014-09-22,-47457.31
2014-09-29,-66245.74
2014-10-01,-67445.87
2014-10-08,-81021.48
2014-10-15,-60152.34
2014-10-22,-62950.13
2014-10-29,-75795.48
2014-11-01,-69137.414
2014-11-08,-63297.402
2014-11-15,-74406.28
2014-11-22,-84724.195
2014-11-29,-82602.45
2014-12-01,-81285.95
2014-12-08,-87866.27
2014-12-15,-75542.17
2014-12-22,-95760.82
2014-12-29,-98279.766
2015-01-01,-50886.504
2015-01-08,-80432.22
2015-01-15,-85209.65
2015-01-22,-99906.81
2015-01-29,-97964.61
2015-02-01,-123958.25
2015-02-08,-117551.72
2015-02-15,-122143.08
2015-02-22,-130552.93
2015-03-01,-134529.73
2015-03-08,-159849.17
2015-03-15,-169457.0
2015-03-22,-174689.64
2015-03-29,-159741.06
2015-04-01,-160331.11
2015-04-08,-175322.38
2015-04-15,-160658.84
2015-04-22,-162951.52
2015-04-29,-147926.28
2015-05-01,-154716.66
2015-05-08,-179542.55
2015-05-15,-164678.14
2015-05-22,-100752.18
2015-05-29,-153840.58
2015-06-01,-158118.8
2015-06-08,-123003.77
2015-06-15,-72976.52
2015-06-22,-27398.947
2015-06-29,-64698.234
2015-07-01,-66098.38
2015-07-08,-15040.055
2015-07-15,-47752.52
2015-07-22,-36180.44
2015-07-29,-10442.787
2015-08-01,-29957.16
2015-08-08,-55632.406
2015-08-15,-41674.543
2015-08-22,-52188.844
2015-08-29,-47523.223
2015-09-01,-33519.113
2015-09-08,-52648.83
2015-09-15,-53389.1
2015-09-22,-41616.637
2015-09-29,-71483.34
2015-10-01,-61324.305
2015-10-08,-54382.867
2015-10-15,-74871.195
2015-10-22,-73007.125
2015-10-29,-80375.875
2015-11-01,-62363.277
2015-11-08,-72799.14
2015-11-15,-75711.76
2015-11-22,-77055.15
2015-11-29,-80984.625
2015-12-01,-72862.13
2015-12-08,-82357.88
2015-12-15,-74797.68
2015-12-22,-77540.94
2015-12-29,-84769.4
2016-01-01,-88858.71
2016-01-08,-88587.27
2016-01-15,-108970.36
2016-01-22,-117773.76
2016-01-29,-107478.7
2016-02-01,-97463.33
2016-02-08,-115819.11
2016-02-15,-116663.33
2016-02-22,-142349.06
2016-02-29,-126229.484
2016-03-01,-120636.86
2016-03-08,-148621.38
2016-03-15,-171777.25
2016-03-22,-172185.12
2016-03-29,-176030.78
2016-04-01,-180303.17
2016-04-08,-176110.97
2016-04-15,-203025.83
2016-04-22,-178397.92
2016-04-29,-189838.38
2016-05-01,-192538.83
2016-05-08,-194535.62
2016-05-15,-189693.08
2016-05-22,-75059.21
2016-05-29,-112589.97
2016-06-01,-91102.086
2016-06-08,-95563.51
2016-06-15,-77046.55
2016-06-22,-75578.76
2016-06-29,-80840.06
2016-07-01,-61758.12
