Date,SST,SST_detrended
2016-01-01,29.071735,-0.028589326093616307
2016-01-02,29.085714,-0.014695543002581246
2016-01-03,29.085516,-0.014978759911546291
2016-01-04,29.093994,-0.006585976820510098
2016-01-05,29.086767,-0.013898193729474428
2016-01-06,29.068348,-0.03240241063843641
2016-01-07,29.054468,-0.04636762754740076
2016-01-08,29.050755,-0.05016584445636241
2016-01-09,29.042772,-0.05823406136532583
2016-01-10,29.036827,-0.06426427827429038
2016-01-11,28.994978,-0.10619849518325353
2016-01-12,28.964743,-0.13651871209221866
2016-01-13,28.964003,-0.13734392900117953
2016-01-14,28.954872,-0.14656014591014355
2016-01-15,28.94418,-0.15733736281910993
2016-01-16,28.907541,-0.19406157972807492
2016-01-17,28.898603,-0.20308479663703594
2016-01-18,28.888962,-0.21281101354600196
2016-01-19,28.943521,-0.15833723045496484
2016-01-20,28.986492,-0.11545144736393098
2016-01-21,29.041222,-0.060806664272892164
2016-01-22,29.049187,-0.05292688118185751
2016-01-23,29.068308,-0.03389109809081958
2016-01-24,29.060415,-0.04186931499978286
2016-01-25,29.069613,-0.0327565319087455
2016-01-26,29.062565,-0.03988974881771057
2016-01-27,29.098957,-0.003582965726675269
2016-01-28,29.12897,0.026344817364361006
2016-01-29,29.08046,-0.022250399544603283
2016-01-30,28.998878,-0.10391761645356468
2016-01-31,28.979338,-0.12354283336253147
2016-02-01,28.943317,-0.15964905027149356
2016-02-02,28.908682,-0.1943692671804591
2016-02-03,28.880766,-0.22237048408942073
2016-02-04,28.882713,-0.22050870099838704
2016-02-05,28.862057,-0.24124991790734995
2016-02-06,28.84198,-0.26141213481631453
2016-02-07,28.828178,-0.27529935172527686
2016-02-08,28.8016,-0.301962568634238
2016-02-09,28.77232,-0.33132778554320197
2016-02-10,28.751429,-0.35230400245216487
2016-02-11,28.739641,-0.3641772193611317
2016-02-12,28.767551,-0.3363524362700936
2016-02-13,28.780521,-0.32346765317905835
2016-02-14,28.773663,-0.3304108700880235
2016-02-15,28.805647,-0.29851208699698617
2016-02-16,28.836594,-0.267650303905949
2016-02-17,28.85442,-0.24990952081491358
2016-02-18,28.896864,-0.2075507377238779
2016-02-19,28.983196,-0.12130395463284316
2016-02-20,29.003622,-0.10096317154180667
2016-02-21,29.019354,-0.08531638845077083
2016-02-22,28.992767,-0.1119886053597341
2016-02-23,29.026844,-0.07799682226869464
2016-02-24,29.06457,-0.0403560391776594
2016-02-25,29.004553,-0.10045825608662184
2016-02-26,28.989683,-0.1154134729955878
2016-02-27,29.007908,-0.09727368990455076
2016-02-28,29.008978,-0.0962889068135162
2016-02-29,29.012028,-0.09332412372247845
2016-03-01,29.02063,-0.08480734063144268
