Date,SST
2006-08-21,28.634693
2006-08-22,28.701136
2006-08-23,28.847784
2006-08-24,28.984997
2006-08-25,28.861393
2006-08-26,28.775429
2006-08-27,28.741764
2006-08-28,28.726044
2006-08-29,28.692131
2006-08-30,28.675802
2006-08-31,28.644026
2006-09-01,28.632019
2006-09-02,28.629282
2006-09-03,28.630539
2006-09-04,28.627193
2006-09-05,28.607513
2006-09-06,28.592455
2006-09-07,28.509434
2006-09-08,28.45114
2006-09-09,28.452354
2006-09-10,28.391617
2006-09-11,28.381609
2006-09-12,28.347702
2006-09-13,28.284946
2006-09-14,28.211525
2006-09-15,28.167456
2006-09-16,28.208809
2006-09-17,28.312466
2006-09-18,28.358694
2006-09-19,28.362665
2006-09-20,28.49227
2006-09-21,28.578873
2006-09-22,28.653055
2006-09-23,28.675032
2006-09-24,28.620266
2006-09-25,28.578993
2006-09-26,28.495722
2006-09-27,28.414616
2006-09-28,28.349537
2006-09-29,28.288359
2006-09-30,28.251122
2006-10-01,28.273788
2006-10-02,28.25503
2006-10-03,28.263987
2006-10-04,28.28001
2006-10-05,28.28659
2006-10-06,28.264013
2006-10-07,28.232323
2006-10-08,28.240477
2006-10-09,28.26733
2006-10-10,28.308407
2006-10-11,28.352835
2006-10-12,28.494724
2006-10-13,28.578175
2006-10-14,28.650082
2006-10-15,28.846663
2006-10-16,29.051264
2006-10-17,28.990599
2006-10-18,28.859556
2006-10-19,28.923122
2006-10-20,28.889273
2006-10-21,28.933102
2006-10-22,28.860992
2006-10-23,28.962107
2006-10-24,28.872528
2006-10-25,28.84052
2006-10-26,28.807419
2006-10-27,28.883768
2006-10-28,29.03986
2006-10-29,28.93059
2006-10-30,28.936508
2006-10-31,28.907312
2006-11-01,28.883318
2006-11-02,28.969687
2006-11-03,29.002005
2006-11-04,28.985363
2006-11-05,29.0662
2006-11-06,29.100515
2006-11-07,29.052397
2006-11-08,29.025066
2006-11-09,29.047813
2006-11-10,29.186987
2006-11-11,29.176884
2006-11-12,29.1162
2006-11-13,29.063265
2006-11-14,29.02903
2006-11-15,29.002642
2006-11-16,29.068155
2006-11-17,28.985655
2006-11-18,28.956663
2006-11-19,28.931845
2006-11-20,28.943237
2006-11-21,28.975906
2006-11-22,28.928905
2006-11-23,28.977089
2006-11-24,28.9681
2006-11-25,28.98136
2006-11-26,29.003035
2006-11-27,28.943851
2006-11-28,28.933916
2006-11-29,28.867393
2006-11-30,28.830631
2006-12-01,28.785448
2006-12-02,28.712948
2006-12-03,28.65593
2006-12-04,28.612455
2006-12-05,28.618738
2006-12-06,28.629015
2006-12-07,28.652729
2006-12-08,28.758512
2006-12-09,28.66826
2006-12-10,28.666288
2006-12-11,28.667282
2006-12-12,28.687265
2006-12-13,28.683428
2006-12-14,28.654463
2006-12-15,28.638363
2006-12-16,28.598377
2006-12-17,28.57622
2006-12-18,28.55747
2006-12-19,28.534899
2006-12-20,28.495327
2006-12-21,28.431934
2006-12-22,28.380182
2006-12-23,28.335604
2006-12-24,28.289137
2006-12-25,28.259508
2006-12-26,28.222685
2006-12-27,28.18877
2006-12-28,28.158928
2006-12-29,28.12323
2006-12-30,28.084269
2006-12-31,28.053818
2007-01-01,28.01936
2007-01-02,27.97547
2007-01-03,27.911245
2007-01-04,27.852497
2007-01-05,27.811514
2007-01-06,27.827291
2007-01-07,27.84931
2007-01-08,27.868029
2007-01-09,27.87988
2007-01-10,27.903982
2007-01-11,27.907484
2007-01-12,27.914976
2007-01-13,27.926785
2007-01-14,27.942785
2007-01-15,27.964514
2007-01-16,27.978434
2007-01-17,28.000214
2007-01-18,28.019863
2007-01-19,28.028612
2007-01-20,28.028482
2007-01-21,28.0373
2007-01-22,28.02564
2007-01-23,28.004282
2007-01-24,27.993828
2007-01-25,28.020496
2007-01-26,28.074926
2007-01-27,28.098404
2007-01-28,28.09954
2007-01-29,28.104624
2007-01-30,28.107018
2007-01-31,28.099415
2007-02-01,28.081667
2007-02-02,28.066233
2007-02-03,28.070042
2007-02-04,28.064133
2007-02-05,28.063065
2007-02-06,28.087852
2007-02-07,28.109959
2007-02-08,28.174625
2007-02-09,28.151936
2007-02-10,28.185421
2007-02-11,28.270817
2007-02-12,28.36454
2007-02-13,28.450394
2007-02-14,28.590008
2007-02-15,28.591627
2007-02-16,28.513931
2007-02-17,28.499668
2007-02-18,28.418192
2007-02-19,28.374119
2007-02-20,28.337593
2007-02-21,28.312231
2007-02-22,28.311054
2007-02-23,28.355307
2007-02-24,28.52465
2007-02-25,28.52275
2007-02-26,28.584896
2007-02-27,28.545748
2007-02-28,28.553942
2007-03-01,28.617075
2007-03-02,28.697273
2007-03-03,28.6065
2007-03-04,28.530592
2007-03-05,28.528563
2007-03-06,28.471094
2007-03-07,28.487963
2007-03-08,28.405231
2007-03-09,28.380587
2007-03-10,28.379694
2007-03-11,28.37058
2007-03-12,28.405731
2007-03-13,28.407589
2007-03-14,28.479115
2007-03-15,28.68256
2007-03-16,28.731758
2007-03-17,28.690266
2007-03-18,28.688395
2007-03-19,28.715683
2007-03-20,28.726933
2007-03-21,28.898811
2007-03-22,28.818832
2007-03-23,28.859806
2007-03-24,28.98246
2007-03-25,28.974213
2007-03-26,29.100777
2007-03-27,29.07425
2007-03-28,29.205164
2007-03-29,29.301067
2007-03-30,29.281872
2007-03-31,29.323648
2007-04-01,29.348118
2007-04-02,29.447865
2007-04-03,29.442963
2007-04-04,29.349823
2007-04-05,29.293001
2007-04-06,29.321827
2007-04-07,29.371721
2007-04-08,29.39433
2007-04-09,29.529509
2007-04-10,29.59322
2007-04-11,29.663406
2007-04-12,29.758097
2007-04-13,29.679647
2007-04-14,29.779964
2007-04-15,29.698927
2007-04-16,29.856047
2007-04-17,29.896503
2007-04-18,29.909267
2007-04-19,30.000063
2007-04-20,30.127008
2007-04-21,30.202839
2007-04-22,30.113699
2007-04-23,30.1367
2007-04-24,30.207294
2007-04-25,30.277151
2007-04-26,30.076805
2007-04-27,30.075485
2007-04-28,30.068623
2007-04-29,30.12627
2007-04-30,30.191576
2007-05-01,30.101105
2007-05-02,30.026062
2007-05-03,29.950098
2007-05-04,29.88311
2007-05-05,29.81753
2007-05-06,29.78592
2007-05-07,29.743534
2007-05-08,29.692421
2007-05-09,29.626122
2007-05-10,29.554571
2007-05-11,29.50181
2007-05-12,29.42495
2007-05-13,29.34448
2007-05-14,29.286072
2007-05-15,29.259718
2007-05-16,29.271656
2007-05-17,29.25192
2007-05-18,29.27025
2007-05-19,29.308868
2007-05-20,29.319883
2007-05-21,29.321304
2007-05-22,29.335217
2007-05-23,29.53199
2007-05-24,29.664078
2007-05-25,29.695406
2007-05-26,29.682974
2007-05-27,29.698
2007-05-28,29.649755
2007-05-29,29.605324
2007-05-30,29.59038
2007-05-31,29.592503
2007-06-01,29.63203
2007-06-02,29.621971
2007-06-03,29.672102
2007-06-04,29.6301
2007-06-05,29.609425
2007-06-06,29.581762
2007-06-07,29.640524
2007-06-08,29.625565
2007-06-09,29.668089
2007-06-10,29.639713
2007-06-11,29.617836
2007-06-12,29.602087
2007-06-13,29.57446
2007-06-14,29.533981
2007-06-15,29.487988
2007-06-16,29.412266
2007-06-17,29.361603
2007-06-18,29.300291
2007-06-19,29.202639
2007-06-20,29.09692
2007-06-21,29.033958
2007-06-22,29.062603
2007-06-23,29.441063
2007-06-24,29.55293
2007-06-25,29.301676
2007-06-26,29.166483
2007-06-27,29.113497
2007-06-28,29.066483
2007-06-29,29.047722
2007-06-30,29.066324
2007-07-01,29.08501
2007-07-02,29.09828
2007-07-03,29.096706
2007-07-04,29.067461
2007-07-05,29.05758
2007-07-06,29.021078
2007-07-07,28.987638
2007-07-08,28.954357
2007-07-09,28.937006
2007-07-10,28.919167
2007-07-11,28.91066
2007-07-12,28.894167
2007-07-13,28.86876
2007-07-14,28.852144
2007-07-15,28.834455
2007-07-16,28.860725
2007-07-17,28.896126
2007-07-18,28.935724
2007-07-19,28.875172
2007-07-20,28.824278
2007-07-21,28.805315
2007-07-22,28.797453
2007-07-23,28.781906
2007-07-24,28.816324
2007-07-25,28.985907
2007-07-26,28.983194
2007-07-27,28.897001
2007-07-28,28.926474
2007-07-29,28.840723
2007-07-30,28.787136
2007-07-31,28.779127
2007-08-01,28.767643
2007-08-02,28.7527
2007-08-03,28.780865
2007-08-04,28.76147
2007-08-05,28.733553
2007-08-06,28.729122
2007-08-07,28.752922
2007-08-08,28.738216
2007-08-09,28.700073
2007-08-10,28.680473
2007-08-11,28.664656
2007-08-12,28.646006
2007-08-13,28.619562
2007-08-14,28.649067
2007-08-15,28.661413
2007-08-16,28.632002
2007-08-17,28.614206
2007-08-18,28.6189
2007-08-19,28.59795
2007-08-20,28.562717
2007-08-21,28.50967
2007-08-22,28.520153
2007-08-23,28.493402
2007-08-24,28.496319
2007-08-25,28.512985
2007-08-26,28.627138
2007-08-27,28.66798
2007-08-28,28.638927
2007-08-29,28.61729
2007-08-30,28.616129
2007-08-31,28.63746
2007-09-01,28.571098
2007-09-02,28.53596
2007-09-03,28.541918
2007-09-04,28.644457
2007-09-05,28.717865
2007-09-06,28.759632
2007-09-07,28.754791
2007-09-08,28.813168
2007-09-09,28.847519
2007-09-10,28.872179
