Date,SST,SST_detrended
2016-01-01,26.448835,-1.853511822852937
2016-01-02,26.432526,-1.8699964857830018
2016-01-03,26.400517,-1.9021811487130655
2016-01-04,26.34179,-1.9610838116431282
2016-01-05,26.302866,-2.0001834745731912
2016-01-06,26.244417,-2.0588081375032594
2016-01-07,26.230982,-2.072418800433322
2016-01-08,26.22664,-2.0769364633633884
2016-01-09,26.22756,-2.076192126293453
2016-01-10,26.237608,-2.066319789223517
2016-01-11,26.181139,-2.122964452153578
2016-01-12,26.109755,-2.194524115083645
2016-01-13,26.055069,-2.2493857780137105
2016-01-14,26.001926,-2.3027044409437742
2016-01-15,25.988842,-2.3159641038738386
2016-01-16,25.965136,-2.3398457668039043
2016-01-17,25.962698,-2.3424594297339674
2016-01-18,25.958273,-2.3470600926640337
2016-01-19,25.940804,-2.364704755594097
2016-01-20,26.024153,-2.281531418524164
2016-01-21,25.989239,-2.316621081454226
2016-01-22,25.987944,-2.3180917443842937
2016-01-23,25.937145,-2.3690664073143566
2016-01-24,25.849506,-2.4568810702444175
2016-01-25,25.757677,-2.548885733174483
2016-01-26,25.676907,-2.6298313961045494
2016-01-27,25.657719,-2.6491950590346143
2016-01-28,25.672216,-2.6348737219646807
2016-01-29,25.709171,-2.5980943848947433
2016-01-30,25.693314,-2.614127047824809
2016-01-31,25.739904,-2.567712710754872
2016-02-01,25.8144,-2.4933923736849373
2016-02-02,25.85307,-2.4548980366150026
2016-02-03,25.94359,-2.3645536995450662
2016-02-04,25.928062,-2.380257362475131
2016-02-05,25.93237,-2.376125025405198
2016-02-06,25.896078,-2.4125926883352626
2016-02-07,25.937569,-2.3712773512653236
2016-02-08,26.021545,-2.287477014195389
2016-02-09,26.100311,-2.2088866771254523
2016-02-10,26.192081,-2.117292340055517
2016-02-11,26.202171,-2.107378002985584
2016-02-12,26.289938,-2.0197866659156496
2016-02-13,26.392017,-1.9178833288457113
2016-02-14,26.443047,-1.8670289917757756
2016-02-15,26.509384,-1.80086765470584
2016-02-16,26.591284,-1.7191433176359041
2016-02-17,26.64062,-1.6699829805659725
2016-02-18,26.80346,-1.5073186434960348
2016-02-19,26.9559,-1.3550543064261014
2016-02-20,27.058306,-1.252823969356161
2016-02-21,27.167519,-1.1437866322862291
2016-02-22,27.25954,-1.0519412952162916
2016-02-23,27.391474,-0.9201829581463592
2016-02-24,27.381966,-0.9298666210764246
2016-02-25,27.39792,-0.914088284006489
2016-02-26,27.39622,-0.9159639469365537
2016-02-27,27.4867,-0.8256596098666158
2016-02-28,27.492832,-0.81970327279668
2016-02-29,27.47486,-0.8378509357267454
2016-03-01,27.532337,-0.7805495986568118
2016-03-02,27.557014,-0.7560482615868764
2016-03-03,27.522068,-0.7911699245169395
2016-03-04,27.539406,-0.7740075874470023
2016-03-05,27.614294,-0.699295250377066
2016-03-06,27.704355,-0.6094099133071325
2016-03-07,27.784353,-0.5295875762371978
2016-03-08,27.812355,-0.5017612391672621
2016-03-09,27.881504,-0.43278790209732776
2016-03-10,27.924253,-0.39021456502739227
2016-03-11,28.040586,-0.2740572279574529
2016-03-12,28.114382,-0.20043689088752004
2016-03-13,28.22265,-0.09234455381758266
2016-03-14,28.296764,-0.01840621674764975
2016-03-15,28.349373,0.0340271203222855
2016-03-16,28.327927,0.012405457392219432
2016-03-17,28.437664,0.12196679446215697
2016-03-18,28.54002,0.2241471315320922
2016-03-19,28.592524,0.27647546860202965
2016-03-20,28.578764,0.2625398056719632
2016-03-21,28.69072,0.3743201427418974
2016-03-22,28.741982,0.42540647981183355
2016-03-23,28.80101,0.48425881688176986
2016-03-24,28.950567,0.6336401539517027
2016-03-25,28.939137,0.6220344910216404
2016-03-26,28.988787,0.6715088280915751
2016-03-27,28.841908,0.5244541651615116
2016-03-28,28.810982,0.49335250223144556
2016-03-29,28.751196,0.43339083930138145
2016-03-30,28.840065,0.5220841763713153
2016-03-31,28.84724,0.5290835134412539
2016-04-01,28.867228,0.5488958505111903
2016-04-02,28.922056,0.6035481875811257
2016-04-03,28.97864,0.6599565246510579
2016-04-04,28.961296,0.642436861720995
2016-04-05,28.997166,0.6781311987909291
2016-04-06,29.02187,0.7026595358608638
2016-04-07,29.122698,0.8033118729308022
2016-04-08,29.23699,0.917428210000736
2016-04-09,29.290886,0.9711485470706727
2016-04-10,29.330488,1.0105748841406061
2016-04-11,29.38238,1.0622912212105433
2016-04-12,29.396458,1.076193558280476
2016-04-13,29.39562,1.0751798953504128
2016-04-14,29.44055,1.119934232420352
2016-04-15,29.458246,1.1374545694902842
2016-04-16,29.440565,1.1195979065602195
2016-04-17,29.420704,1.0995612436301556
2016-04-18,29.424908,1.1035895807000884
2016-04-19,29.441652,1.120157917770026
2016-04-20,29.398787,1.0771172548399583
2016-04-21,29.347336,1.0254905919098967
2016-04-22,29.328325,1.0063039289798326
2016-04-23,29.347883,1.0256862660497674
2016-04-24,29.369019,1.0466466031197044
2016-04-25,29.429598,1.1070499401896363
2016-04-26,29.53637,1.2136462772595742
2016-04-27,29.568127,1.2452276143295116
2016-04-28,29.650148,1.3270729513994475
2016-04-29,29.771914,1.4486632884693798
2016-04-30,29.84599,1.5225636255393162
2016-05-01,29.867067,1.5434649626092494
2016-05-02,29.86491,1.5411322996791839
2016-05-03,29.896194,1.5722406367491217
2016-05-04,29.938753,1.6146239738190573
2016-05-05,30.052637,1.7283323108889945
2016-05-06,30.126366,1.8018856479589296
2016-05-07,30.218204,1.8935479850288637
2016-05-08,30.326256,2.0014243220987993
2016-05-09,30.4454,2.1203926591687328
2016-05-10,30.52661,2.20142699623867
2016-05-11,30.58992,2.264561333308606
2016-05-12,30.569555,2.244020670378543
2016-05-13,30.51756,2.191850007448476
2016-05-14,30.625135,2.2992493445184117
2016-05-15,30.66072,2.3346586815883477
2016-05-16,30.668695,2.342458018658281
2016-05-17,30.621496,2.29508335572822
2016-05-18,30.485975,2.1593866927981544
2016-05-19,30.341976,2.0152120298680885
2016-05-20,30.189417,1.8624773669380232
2016-05-21,30.082127,1.7550117040079591
