Date,SST
2006-08-22,27.999336
2006-08-23,27.988018
2006-08-24,28.045925
2006-08-25,28.109629
2006-08-26,28.139425
2006-08-27,28.165573
2006-08-28,28.112297
2006-08-29,28.027504
2006-08-30,28.052502
2006-08-31,28.154833
2006-09-01,28.192049
2006-09-02,28.228348
2006-09-03,28.20888
2006-09-04,28.207376
2006-09-05,28.421759
2006-09-06,28.734833
2006-09-07,28.857832
2006-09-08,28.98149
2006-09-09,29.152403
2006-09-10,29.244995
2006-09-11,29.206224
2006-09-12,29.16868
2006-09-13,29.210411
2006-09-14,29.14789
2006-09-15,29.015705
2006-09-16,28.927422
2006-09-17,28.850536
2006-09-18,28.773575
2006-09-19,28.666935
2006-09-20,28.54766
2006-09-21,28.47611
2006-09-22,28.40537
2006-09-23,28.396843
2006-09-24,28.435667
2006-09-25,28.49764
2006-09-26,28.667442
2006-09-27,28.889086
2006-09-28,28.831327
2006-09-29,28.659075
2006-09-30,28.653173
2006-10-01,28.74819
2006-10-02,28.903242
2006-10-03,28.922815
2006-10-04,28.883097
2006-10-05,28.889515
2006-10-06,29.00124
2006-10-07,29.16479
2006-10-08,29.220634
2006-10-09,29.232008
2006-10-10,29.240242
2006-10-11,29.316881
2006-10-12,29.422012
2006-10-13,29.491905
2006-10-14,29.61624
2006-10-15,29.63768
2006-10-16,29.67811
2006-10-17,29.721283
2006-10-18,29.706654
2006-10-19,29.777477
2006-10-20,29.676802
2006-10-21,29.637983
2006-10-22,29.575129
2006-10-23,29.524895
2006-10-24,29.474358
2006-10-25,29.466602
2006-10-26,29.436426
2006-10-27,29.388151
2006-10-28,29.34668
2006-10-29,29.36736
2006-10-30,29.353954
2006-10-31,29.422073
2006-11-01,29.405054
2006-11-02,29.368298
2006-11-03,29.381521
2006-11-04,29.394806
2006-11-05,29.396389
2006-11-06,29.313248
2006-11-07,29.283617
2006-11-08,29.13926
2006-11-09,28.983658
2006-11-10,28.871496
2006-11-11,28.823154
2006-11-12,28.76179
2006-11-13,28.68521
2006-11-14,28.620764
2006-11-15,28.570774
2006-11-16,28.558378
2006-11-17,28.54992
2006-11-18,28.501936
2006-11-19,28.442999
2006-11-20,28.337072
2006-11-21,28.242182
2006-11-22,28.164272
2006-11-23,28.092112
2006-11-24,28.068668
2006-11-25,28.078375
2006-11-26,28.065254
2006-11-27,28.05696
2006-11-28,27.985329
2006-11-29,27.916658
2006-11-30,27.801832
2006-12-01,27.665619
2006-12-02,27.54457
2006-12-03,27.398994
2006-12-04,27.250906
2006-12-05,27.13577
2006-12-06,27.04142
2006-12-07,26.953194
2006-12-08,26.894135
2006-12-09,26.851955
2006-12-10,26.813852
2006-12-11,26.77542
2006-12-12,26.702103
2006-12-13,26.632761
2006-12-14,26.576883
2006-12-15,26.473083
2006-12-16,26.409468
2006-12-17,26.39829
2006-12-18,26.371725
2006-12-19,26.318909
2006-12-20,26.312483
2006-12-21,26.295233
2006-12-22,26.243837
2006-12-23,26.166075
2006-12-24,26.1028
2006-12-25,26.042952
2006-12-26,25.965601
2006-12-27,25.891699
2006-12-28,25.850344
2006-12-29,25.838127
2006-12-30,25.81133
2006-12-31,25.750242
2007-01-01,25.701488
2007-01-02,25.653162
2007-01-03,25.627108
2007-01-04,25.571653
2007-01-05,25.52257
2007-01-06,25.500645
2007-01-07,25.469498
2007-01-08,25.418243
2007-01-09,25.363804
2007-01-10,25.308994
2007-01-11,25.245085
2007-01-12,25.196007
2007-01-13,25.157713
2007-01-14,25.140482
2007-01-15,25.124943
