Date,SST,SST_detrended
2016-01-01,28.52449,-0.39079715551515193
2016-01-02,28.506613,-0.40878390521057995
2016-01-03,28.493362,-0.4221446549060133
2016-01-04,28.463135,-0.4524814046014427
2016-01-05,28.413782,-0.5019441542968721
2016-01-06,28.360138,-0.5556979039923036
2016-01-07,28.304468,-0.6114776536877322
2016-01-08,28.253868,-0.662187403383161
2016-01-09,28.191668,-0.7244971530785946
2016-01-10,28.134796,-0.7814789027740225
2016-01-11,28.070595,-0.8457896524694526
2016-01-12,28.019995,-0.8964994021648813
2016-01-13,27.98246,-0.9341441518603126
2016-01-14,27.929888,-0.9868259015557435
2016-01-15,27.907135,-1.0096886512511745
2016-01-16,27.867437,-1.0494964009466052
2016-01-17,27.836725,-1.0803181506420323
2016-01-18,27.815384,-1.1017689003374613
2016-01-19,27.810534,-1.106728650032892
2016-01-20,27.902943,-1.0144293997283214
2016-01-21,27.939629,-0.9778531494237548
2016-01-22,27.89405,-1.0235418991191843
2016-01-23,27.887772,-1.0299296488146155
2016-01-24,27.889154,-1.0286573985100418
2016-01-25,27.886047,-1.0318741482054712
2016-01-26,27.86302,-1.0550108979009032
2016-01-27,27.85985,-1.0582906475963334
2016-01-28,27.851627,-1.0666233972917638
2016-01-29,27.815817,-1.1025431469871947
2016-01-30,27.781828,-1.1366418966826224
2016-01-31,27.7597,-1.158879646378054
2016-02-01,27.733496,-1.1851933960734833
2016-02-02,27.714123,-1.2046761457689144
2016-02-03,27.69789,-1.2210188954643435
2016-02-04,27.678934,-1.2400846451597722
2016-02-05,27.67536,-1.243768394855202
2016-02-06,27.656914,-1.2623241445506324
2016-02-07,27.681858,-1.237489894246064
2016-02-08,27.680342,-1.2391156439414956
2016-02-09,27.672009,-1.2475583936369254
2016-02-10,27.652813,-1.2668641433323558
2016-02-11,27.617716,-1.302070893027782
2016-02-12,27.650928,-1.2689686427232125
2016-02-13,27.612268,-1.307738392418642
2016-02-14,27.638369,-1.2817471421140745
2016-02-15,27.645039,-1.2751868918095042
2016-02-16,27.698755,-1.2215806415049357
2016-02-17,27.73692,-1.1835253912003623
2016-02-18,27.825016,-1.0955391408957915
2016-02-19,27.949982,-0.9706828905912239
2016-02-20,28.075745,-0.8450296402866542
2016-02-21,28.210875,-0.7100093899820834
2016-02-22,28.122908,-0.7980861396775154
2016-02-23,28.160196,-0.7609078893729446
2016-02-24,28.222351,-0.6988626390683734
2016-02-25,28.138628,-0.782695388763802
2016-02-26,28.122904,-0.7985291384592372
2016-02-27,28.162848,-0.7586948881546647
2016-02-28,28.22152,-0.7001326378500927
2016-02-29,28.267078,-0.6546843875455224
2016-03-01,28.355776,-0.5660961372409545
2016-03-02,28.357393,-0.5645888869363844
2016-03-03,28.354458,-0.5676336366318147
2016-03-04,28.369251,-0.5529503863272467
2016-03-05,28.40562,-0.5166911360226756
2016-03-06,28.455196,-0.46722488571810317
2016-03-07,28.485928,-0.43660263541353217
2016-03-08,28.5504,-0.37224038510896307
2016-03-09,28.632633,-0.2901171348043974
2016-03-10,28.635218,-0.28764188449982697
2016-03-11,28.688902,-0.2340676341952559
2016-03-12,28.771534,-0.15154538389068506
2016-03-13,28.81555,-0.10763913358611177
2016-03-14,28.83135,-0.09194888328154249
2016-03-15,28.920204,-0.003204632976977706
2016-03-16,28.931553,0.008034617327595583
2016-03-17,28.992893,0.06926486763216388
2016-03-18,29.04681,0.12307211793673645
2016-03-19,29.157131,0.23328336824130602
2016-03-20,29.262201,0.3382436185458779
2016-03-21,29.262518,0.33845086885044395
2016-03-22,29.28009,0.3559131191550158
2016-03-23,29.369802,0.44551536945958503
2016-03-24,29.321754,0.3973576197641542
2016-03-25,29.403145,0.47863887006872474
2016-03-26,29.398472,0.4738561203732985
2016-03-27,29.420443,0.4957173706778626
2016-03-28,29.450167,0.5253316209824348
2016-03-29,29.455877,0.5309318712870059
2016-03-30,29.455833,0.5307781215915739
2016-03-31,29.568502,0.6433373718961448
2016-04-01,29.651852,0.7265776222007183
2016-04-02,29.711445,0.7860608725052849
2016-04-03,29.778143,0.8526491228098543
2016-04-04,29.874426,0.9488223731144245
2016-04-05,29.98578,1.0600666234189937
2016-04-06,30.004658,1.0788348737235651
2016-04-07,30.077038,1.1511051240281382
2016-04-08,30.144894,1.2188513743327043
2016-04-09,30.196661,1.270508624637273
2016-04-10,30.249655,1.3233928749418453
2016-04-11,30.202284,1.275912125246414
2016-04-12,30.12064,1.1941583755509875
2016-04-13,30.133133,1.2065416258555572
2016-04-14,30.224123,1.2974218761601222
2016-04-15,30.3719,1.4450891264646941
2016-04-16,30.403383,1.4764623767692662
2016-04-17,30.424665,1.497634627073836
2016-04-18,30.501484,1.574343877378407
2016-04-19,30.570738,1.643488127682975
2016-04-20,30.718866,1.7915063779875418
2016-04-21,30.709774,1.7823046282921133
2016-04-22,30.675386,1.747806878596684
2016-04-23,30.643066,1.715377128901256
2016-04-24,30.645855,1.7180563792058265
2016-04-25,30.761904,1.8339956295103974
2016-04-26,30.908712,1.9806938798149645
2016-04-27,30.95322,2.0250921301195355
2016-04-28,30.970936,2.0426983804241026
2016-04-29,31.06063,2.1322826307286746
2016-04-30,31.089834,2.161376881033245
2016-05-01,31.105463,2.1768961313378163
2016-05-02,31.180666,2.2519893816423817
2016-05-03,31.209633,2.280846631946954
2016-05-04,31.208937,2.280040882251523
2016-05-05,31.296133,2.367127132556096
2016-05-06,31.316774,2.387658382860664
2016-05-07,31.383356,2.454130633165235
2016-05-08,31.398212,2.468876883469804
2016-05-09,31.403278,2.4738331337743737
2016-05-10,31.484478,2.5549233840789434
2016-05-11,31.545143,2.615478634383514
2016-05-12,31.56265,2.6328758846880866
2016-05-13,31.56104,2.631156134992654
2016-05-14,31.480963,2.550969385297222
2016-05-15,31.470947,2.5408436356017923
2016-05-16,31.366,2.4357868859063636
2016-05-17,31.22887,2.298547136210935
2016-05-18,31.120447,2.1900143865155037
2016-05-19,31.000055,2.0695126368200754
2016-05-20,30.832647,1.9019948871246442
2016-05-21,30.68662,1.7558581374292146
2016-05-22,30.588884,1.658012387733784
2016-05-23,30.537638,1.6066566380383556
2016-05-24,30.502382,1.5712908883429257
2016-05-25,30.457983,1.5267821386474942
2016-05-26,30.427292,1.495981388952064
2016-05-27,30.406239,1.4748186392566325
2016-05-28,30.38454,1.453009889561205
2016-05-29,30.357056,1.4254161398657743
2016-05-30,30.34951,1.4177603901703435
2016-05-31,30.326353,1.3944936404749164
2016-06-01,30.310291,1.3783218907794819
2016-06-02,30.2742,1.3421211410840534
2016-06-03,30.23209,1.299901391388623
2016-06-04,30.190868,1.2585696416931924
2016-06-05,30.162123,1.2297148919977658
2016-06-06,30.121021,1.1885031423023307
2016-06-07,30.082006,1.149378392606902
2016-06-08,30.041601,1.1088636429114729
2016-06-09,30.00241,1.0695628932160446
2016-06-10,29.97308,1.0401231435206135
2016-06-11,29.9427,1.0096333938251831
2016-06-12,29.912645,0.9794686441297529
2016-06-13,29.867582,0.9342958944343209
2016-06-14,29.827478,0.894082144738892
2016-06-15,29.776192,0.8426863950434651
2016-06-16,29.715286,0.7816706453480329
2016-06-17,29.665422,0.731696895652604
2016-06-18,29.621553,0.6877181459571702
2016-06-19,29.606533,0.6725883962617409
2016-06-20,29.599895,0.6658406465663127
2016-06-21,29.629322,0.6951578968708816
2016-06-22,29.694939,0.7606651471754553
2016-06-23,29.652597,0.7182133974800244
2016-06-24,29.575537,0.641043647784592
2016-06-25,29.501488,0.5668848980891603
2016-06-26,29.453962,0.5192491483937332
2016-06-27,29.407286,0.47246339869830223
2016-06-28,29.368343,0.43341064900287307
2016-06-29,29.319302,0.38425989930744464
2016-06-30,29.268528,0.3333761496120111
2016-07-01,29.255262,0.32000039991658014
2016-07-02,29.241888,0.3065166502211518
2016-07-03,29.248503,0.31302190052572243
2016-07-04,29.301943,0.36635215083029493
2016-07-05,29.319664,0.3839634011348636
2016-07-06,29.313309,0.3774986514394314
2016-07-07,29.263279,0.3273589017440024
2016-07-08,29.225487,0.28945715204857336
2016-07-09,29.191809,0.25566940235314206
2016-07-10,29.188683,0.25243365265771445
2016-07-11,29.197739,0.26137990296228253
2016-07-12,29.210455,0.2739861532668506
2016-07-13,29.260126,0.3235474035714212
2016-07-14,29.300188,0.3634996538759907
2016-07-15,29.285759,0.34896090418056147
2016-07-16,29.37958,0.442672154485134
2016-07-17,29.33966,0.40264240478970237
2016-07-18,29.330309,0.3931816550942706
2016-07-19,29.323101,0.38586390539884263
2016-07-20,29.347351,0.41000415570341175
2016-07-21,29.320974,0.38351740600798223
2016-07-22,29.303102,0.36553565631255225
2016-07-23,29.299248,0.36157190661712235
2016-07-24,29.293236,0.355450156921691
2016-07-25,29.296555,0.35865940722626277
2016-07-26,29.325861,0.3878556575308316
2016-07-27,29.395824,0.4577089078354035
2016-07-28,29.300411,0.36218615813997346
2016-07-29,29.236881,0.29854640844454394
2016-07-30,29.170008,0.2315636587491099
2016-07-31,29.11591,0.1773559090536807
2016-08-01,29.069893,0.1312291593582522
2016-08-02,29.023241,0.08446740966282107
2016-08-03,28.991802,0.052918659967392756
2016-08-04,28.962831,0.0238379102719648
2016-08-05,28.964708,0.02560516057653217
2016-08-06,28.986485,0.04727241088109935
2016-08-07,28.983318,0.04399566118567222
2016-08-08,28.980757,0.041324911490242755
2016-08-09,29.009453,0.06991116179481338
2016-08-10,29.068624,0.12897241209938315
2016-08-11,29.078466,0.13870466240394919
2016-08-12,29.07474,0.13486891270851942
2016-08-13,29.068922,0.1289411630130921
2016-08-14,29.053616,0.11352541331766375
2016-08-15,29.034273,0.09407266362223154
2016-08-16,29.009415,0.06910491392680385
2016-08-17,29.003803,0.06338316423137158
2016-08-18,29.023556,0.08302641453594006
2016-08-19,29.077469,0.13682966484051207
2016-08-20,29.137493,0.19674391514508116
2016-08-21,29.214209,0.27335016544965285
2016-08-22,29.369267,0.4282984157542238
2016-08-23,29.481472,0.5403936660587902
2016-08-24,29.41229,0.4711019163633594
2016-08-25,29.362988,0.4216901666679327
2016-08-26,29.369879,0.4284714169725028
2016-08-27,29.3354,0.39388266727707233
2016-08-28,29.347153,0.4055259175816417
2016-08-29,29.330807,0.38907016788621007
2016-08-30,29.276379,0.33453241819077917
2016-08-31,29.20387,0.2619136684953496
2016-09-01,29.169813,0.22774691879992304
2016-09-02,29.12613,0.18395416910449214
2016-09-03,29.081055,0.13876941940906207
2016-09-04,29.059572,0.11717666971362917
2016-09-05,29.054096,0.1115909200182017
2016-09-06,29.020998,0.07838317032276976
2016-09-07,28.985826,0.043101420627341014
2016-09-08,28.957237,0.014402670931911388
2016-09-09,28.965534,0.0225899212364844
2016-09-10,29.003115,0.06006117154105084
2016-09-11,29.03266,0.08949642184562023
2016-09-12,29.030014,0.08674067215019221
2016-09-13,29.04857,0.10518692245476302
2016-09-14,29.05843,0.11493717275933335
2016-09-15,29.03695,0.09334742306390353
2016-09-16,29.011528,0.06781567336846805
2016-09-17,29.01926,0.07543792367303936
2016-09-18,29.105309,0.1613771739776091
2016-09-19,29.056276,0.11223442428218178
2016-09-20,29.01525,0.07109867458675367
2016-09-21,28.958258,0.013996924891323204
2016-09-22,28.938845,-0.005525824804109902
2016-09-23,28.896353,-0.04812757449953864
2016-09-24,28.929413,-0.015177324194969088
2016-09-25,28.93484,-0.009860073890397558
2016-09-26,28.950546,0.0057361764141710125
2016-09-27,28.97529,0.03037042671874346
2016-09-28,28.99164,0.04661067702330968
2016-09-29,28.933994,-0.011145072672121614
2016-09-30,28.894062,-0.05118682236754779
2016-10-01,28.876482,-0.06887657206297959
2016-10-02,28.926622,-0.018846321758410056
2016-10-03,28.989088,0.04350992854616109
2016-10-04,29.013685,0.06799717885072809
2016-10-05,28.993626,0.047828429155298835
2016-10-06,28.978548,0.03264067945987037
2016-10-07,28.956377,0.010359929764440778
2016-10-08,28.964071,0.017944180069012106
2016-10-09,28.958788,0.01255143037358053
2016-10-10,28.98375,0.0374036806781497
2016-10-11,29.02049,0.07403393098271849
2016-10-12,29.090528,0.14396218128728933
2016-10-13,29.165586,0.21891043159186196
2016-10-14,29.245811,0.2990256818964312
2016-10-15,29.368582,0.42168693220100195
2016-10-16,29.313297,0.3662921825055676
2016-10-17,29.342102,0.39498743281014015
2016-10-18,29.262236,0.3150116831147116
2016-10-19,29.18747,0.24013593341928186
2016-10-20,29.113087,0.16564318372385145
2016-10-21,29.033102,0.08554843402842138
2016-10-22,28.985947,0.038283684332988344
2016-10-23,28.93929,-0.008483065362440811
2016-10-24,28.907207,-0.040675815057870324
2016-10-25,28.885836,-0.06215656475329823
2016-10-26,28.93894,-0.009162314448730058
2016-10-27,28.988417,0.04020493585584006
2016-10-28,29.102427,0.15410518616040747
2016-10-29,29.164454,0.21602243646497854
2016-10-30,29.091137,0.1425956867695497
2016-10-31,28.998404,0.049752937074121206
2016-11-01,28.91328,-0.035480812621308644
2016-11-02,28.88353,-0.06534056231674157
2016-11-03,28.848358,-0.10062231201217031
2016-11-04,28.828043,-0.12104706170759982
2016-11-05,28.805384,-0.14381581140303012
2016-11-06,28.825068,-0.12424156109845796
2016-11-07,28.802906,-0.14651331079388896
2016-11-08,28.8782,-0.07132906048932242
2016-11-09,28.80962,-0.1400188101847526
2016-11-10,28.871765,-0.07798355988018102
2016-11-11,28.90204,-0.04781830957561084
2016-11-12,28.964287,0.014318940728959006
2016-11-13,28.947115,-0.002962808966469055
2016-11-14,28.90552,-0.04466755866190297
2016-11-15,28.915447,-0.03485030835733127
2016-11-16,28.932814,-0.01759305805276057
2016-11-17,28.89966,-0.05085680774818968
2016-11-18,28.866142,-0.08448455744361993
2016-11-19,28.879192,-0.07154430713904958
2016-11-20,28.840878,-0.1099680568344823
2016-11-21,28.821323,-0.12963280652991216
2016-11-22,28.777924,-0.17314155622534244
2016-11-23,28.739725,-0.21145030592077063
2016-11-24,28.712315,-0.23897005561619977
2016-11-25,28.687288,-0.26410680531163067
2016-11-26,28.715979,-0.23552555500706163
2016-11-27,28.696733,-0.2548813047024936
2016-11-28,28.71041,-0.24131405439792175
2016-11-29,28.670063,-0.28177080409335176
2016-11-30,28.646832,-0.3051115537887803
2016-12-01,28.668953,-0.2831003034842112
2016-12-02,28.723478,-0.2286850531796425
2016-12-03,28.686344,-0.2659288028750737
2016-12-04,28.652355,-0.3000275525705014
2016-12-05,28.623468,-0.3290243022659318
2016-12-06,28.579432,-0.37317005196135966
2016-12-07,28.532177,-0.4205348016567889
2016-12-08,28.452595,-0.5002265513522239
2016-12-09,28.384785,-0.5681463010476513
2016-12-10,28.329954,-0.6230870507430808
2016-12-11,28.303797,-0.6493538004385115
2016-12-12,28.335972,-0.6172885501339387
2016-12-13,28.435581,-0.5177892998293707
2016-12-14,28.387007,-0.5664730495248023
2016-12-15,28.318222,-0.6353677992202336
2016-12-16,28.253242,-0.7004575489156615
2016-12-17,28.195393,-0.7584162986110918
2016-12-18,28.16667,-0.7872490483065206
2016-12-19,28.176027,-0.7780017980019487
2016-12-20,28.174826,-0.7793125476973835
2016-12-21,28.139006,-0.815242297392814
2016-12-22,28.09278,-0.8615780470882406
2016-12-23,28.079798,-0.874669796783671
2016-12-24,28.067762,-0.8868155464791023
2016-12-25,28.074722,-0.8799652961745288
2016-12-26,28.134424,-0.8203730458699638
2016-12-27,28.132702,-0.8222047955653942
2016-12-28,28.13878,-0.8162365452608213
2016-12-29,28.11173,-0.8433962949562499
2016-12-30,28.101585,-0.8536510446516807
2016-12-31,28.088795,-0.8665507943471091
2017-01-01,28.07104,-0.8844155440425432
2017-01-02,28.05287,-0.902695293737974
2017-01-03,28.032501,-0.9231740434334021
2017-01-04,28.016716,-0.9390687931288326
2017-01-05,27.968596,-0.9872985428242593
2017-01-06,27.92618,-1.0298242925196917
2017-01-07,27.888504,-1.0676100422151222
2017-01-08,27.857145,-1.0990787919105536
2017-01-09,27.840326,-1.1160075416059811
2017-01-10,27.818598,-1.13784529130141
2017-01-11,27.789272,-1.1672810409968406
2017-01-12,27.758644,-1.1980187906922701
2017-01-13,27.694576,-1.262196540387702
2017-01-14,27.634106,-1.3227762900831337
2017-01-15,27.590027,-1.366965039778563
2017-01-16,27.559082,-1.3980197894739916
2017-01-17,27.51258,-1.4446315391694213
2017-01-18,27.484056,-1.4732652888648516
2017-01-19,27.482067,-1.4753640385602829
2017-01-20,27.488676,-1.4688647882557113
2017-01-21,27.529808,-1.4278425379511432
2017-01-22,27.561686,-1.3960742876465702
2017-01-23,27.56079,-1.3970800373420005
2017-01-24,27.558916,-1.3990637870374307
2017-01-25,27.57403,-1.3840595367328632
2017-01-26,27.604557,-1.3536422864282933
2017-01-27,27.638628,-1.319681036123722
2017-01-28,27.6618,-1.2966187858191525
2017-01-29,27.669,-1.289528535514581
2017-01-30,27.593702,-1.3649362852100104
2017-01-31,27.585604,-1.3731440349054438
2017-02-01,27.567835,-1.3910227846008745
2017-02-02,27.538794,-1.4201735342963033
2017-02-03,27.519705,-1.4393722839917338
2017-02-04,27.494589,-1.4645980336871602
2017-02-05,27.502962,-1.4563347833825908
2017-02-06,27.522491,-1.4369155330780252
2017-02-07,27.507605,-1.4519112827734517
2017-02-08,27.43012,-1.529506032468884
2017-02-09,27.43942,-1.5203157821643138
2017-02-10,27.44287,-1.5169755318597424
2017-02-11,27.45653,-1.5034252815551703
2017-02-12,27.485922,-1.4741430312506054
2017-02-13,27.505053,-1.4551217809460333
2017-02-14,27.52444,-1.4358445306414644
2017-02-15,27.518816,-1.4415782803368913
2017-02-16,27.505232,-1.4552720300323223
2017-02-17,27.508457,-1.4521567797277513
2017-02-18,27.555689,-1.4050345294231832
2017-02-19,27.588232,-1.3726012791186122
2017-02-20,27.771097,-1.189846028814042
2017-02-21,27.782333,-1.1787197785094712
2017-02-22,27.726845,-1.234317528204901
2017-02-23,27.72461,-1.236662277900333
2017-02-24,27.681337,-1.280045027595765
2017-02-25,27.656466,-1.305025777291192
2017-02-26,27.647614,-1.3139875269866224
