Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,DMI_0m,DMI_1m,DMI_2m,DMI_3m,DMI_6m,IOD_Phase,IOD_Phase_1m,IOD_Phase_2m,IOD_Phase_3m,IOD_Phase_6m
2010-03-18,2010-04-11,25,0.2098763521290332,0.3414879548387119,0.4580000042915344,0.0230000000447034,0.2939999997615814,0.1599999964237213,-0.1030000001192092,Positive,Neutral,Neutral,Neutral,Neutral
2010-04-23,2010-05-03,11,0.0569952196480943,0.1158085064516143,0.3700000047683716,0.4580000042915344,0.0230000000447034,0.2939999997615814,-0.0130000002682209,Neutral,Positive,Neutral,Neutral,Neutral
2010-05-07,2010-05-18,12,0.2333294817204298,0.4567433709677395,-0.0299999993294477,0.3700000047683716,0.4580000042915344,0.0230000000447034,-0.06700000166893,Neutral,Neutral,Positive,Neutral,Neutral
2010-09-27,2010-10-03,7,0.2004765953917058,0.2886689419354837,-0.2680000066757202,-0.061999998986721,-0.0010000000474974,-0.1400000005960464,0.4580000042915344,Neutral,Neutral,Neutral,Neutral,Positive
2015-11-21,2015-11-25,5,0.0158709148387117,0.0368145483870954,0.3470000028610229,0.4830000102519989,0.2939999997615814,0.5669999718666077,0.2399999946355819,Neutral,Positive,Neutral,Positive,Neutral
2016-01-01,2016-01-08,8,0.1669550552969183,0.2431145562499992,0.2660000026226043,0.2720000147819519,0.3470000028610229,0.4830000102519989,0.2249999940395355,Neutral,Neutral,Neutral,Positive,Neutral
2016-05-05,2016-05-19,15,0.2014103443010744,0.3875133709677385,-0.1129999980330467,0.1459999978542328,-0.0089999996125698,-0.1099999994039535,0.3470000028610229,Neutral,Neutral,Neutral,Neutral,Neutral
2016-08-22,2016-08-29,8,0.0657481310483869,0.1649886999999985,-0.4440000057220459,-0.7580000162124634,-0.4429999887943268,-0.1129999980330467,-0.1099999994039535,Negative,Negative,Negative,Neutral,Neutral
2017-09-10,2017-09-15,6,0.1148459473118273,0.2394576935483883,0.0340000018477439,0.3490000069141388,0.5199999809265137,0.4239999949932098,0.3569999933242798,Neutral,Neutral,Positive,Positive,Neutral
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,0.9639999866485596,0.8930000066757202,0.4359999895095825,0.597000002861023,0.257999986410141,Positive,Positive,Positive,Positive,Neutral
