Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity
2010-03-04,2010-03-10,7,0.07261032304147516,0.15257660967742126
2010-03-28,2010-04-03,7,0.08628463364055097,0.14863645806451586
2010-04-10,2010-04-20,11,0.09379271994134991,0.1603686612903239
2010-04-22,2010-04-26,5,0.08336533483871023,0.11444112580645438
2010-05-11,2010-05-16,6,0.14590316720430074,0.2916165709677436
2015-06-10,2015-06-14,5,0.03740426129032457,0.07325235806451857
2015-09-05,2015-09-13,9,0.07295498673835057,0.19617041935483925
2015-10-11,2015-11-02,23,0.15824612342216018,0.34344949354839116
2015-12-08,2016-01-15,39,0.09807859841940825,0.23082537096773947
2016-01-19,2016-02-02,15,0.13552581806451655,0.2429977322580683
2016-04-21,2016-05-22,32,0.24737533326612826,0.4409555774193521
2017-11-16,2017-11-20,5,0.03863959290322967,0.06863277096774567
2019-03-04,2019-03-08,5,0.21305841290322575,0.3008829967741953
2019-04-17,2019-04-23,7,0.10188005668202749,0.20729861290322305
2019-07-07,2019-07-20,14,0.1524633806451605,0.28276582903225744
2019-10-04,2019-10-19,16,0.1785638997983865,0.36145515806451556
2020-07-18,2020-07-29,12,0.21196711881720573,0.33141679677419233
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268
2021-05-11,2021-05-19,9,0.15616035806451598,0.4482937419354798
2023-08-23,2023-08-31,9,0.07132516021505314,0.18785711290322737
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434
2024-01-25,2024-03-08,44,0.16284288585044024,0.3416137032258
2024-03-28,2024-04-11,15,0.2428857410752691,0.48307458064515885
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419351
2024-06-14,2024-09-02,81,0.1455375629231377,0.46311750967741716
2024-09-26,2024-10-12,17,0.13717487077798818,0.2684732903225857
2024-10-29,2025-01-16,79,0.21248689615723348,0.6199571483870976
2025-10-13,2025-10-18,6,0.08807187204301019,0.15417238387097143
