Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity
2006-03-06,2006-03-11,6,0.06998100107526994,0.1418800064516148
2008-10-13,2008-10-18,6,0.02424484623655765,0.05600249354838738
2009-11-14,2009-11-20,7,0.0863886460829489,0.1618855193548363
2010-03-16,2010-03-22,7,0.05427769262672807,0.11732791612903526
2014-06-11,2014-06-19,9,0.2710513136200683,0.4585283129032298
2016-02-18,2016-03-03,15,0.21636026107526926,0.4010841774193601
2016-03-06,2016-03-28,23,0.15504801444600325,0.3465208903225836
2016-08-26,2016-08-30,5,0.050726394838708444,0.10379095806451488
2017-01-01,2017-01-07,7,0.146624434914126,0.206155082352943
2018-09-29,2018-10-07,9,0.2611873598566328,0.4352090129032291
2019-06-24,2019-06-29,6,0.07720940752688321,0.10725182580645409
2019-10-17,2019-10-31,15,0.31606359333333267,0.6210531838709628
2020-05-11,2020-05-17,7,0.22282684792626636,0.32248381935484005
2020-06-24,2020-07-05,12,0.100374485483871,0.20492028709677612
2020-07-08,2020-07-13,6,0.07935210053763579,0.14964450967741882
2020-07-25,2020-08-13,20,0.24841243629032217,0.5033501387096777
2020-09-03,2020-09-23,21,0.41247592903225744,0.659075399999999
2021-01-07,2021-01-29,23,0.11920757509035695,0.3130162857142835
2021-05-08,2021-05-23,16,0.24969374697580626,0.47726177419355054
2021-07-15,2021-07-20,6,0.03162153978494745,0.04839129354838789
2021-08-31,2021-09-05,6,0.15804783870967754,0.2706704322580684
2021-10-06,2021-10-12,7,0.14514709815668272,0.29979491290322713
2021-11-17,2021-11-28,12,0.06355847231182803,0.09389924193548183
2021-12-03,2021-12-15,13,0.16031075062034716,0.2475553838709672
2022-01-01,2022-01-06,6,0.10298622179375272,0.2027816062499994
2022-07-27,2022-08-08,13,0.42712313870967805,0.791831138709675
2022-08-29,2022-09-11,14,0.49104605253456207,0.7155913999999974
2023-01-01,2023-01-06,6,0.1497262217937525,0.24880260624999906
2023-04-11,2023-05-11,31,0.2531448370447453,0.48686325161290966
2023-05-28,2023-06-21,25,0.1940704358709661,0.38887923870968066
2023-06-30,2023-07-06,7,0.18787304470046098,0.31517929677418977
2023-08-30,2023-09-03,5,0.07366090451612947,0.1329720354838706
2023-10-10,2023-10-21,12,0.16529017446236546,0.27199970645161287
2023-11-03,2023-11-09,7,0.11452405806451489,0.16897941290322294
2023-12-03,2023-12-09,7,0.0939239815668204,0.16641187096774246
2024-04-07,2024-05-25,49,0.3037085087557604,0.9121927741935529
2024-05-30,2024-06-06,8,0.12231677217742032,0.2883897354838716
2024-10-07,2024-10-22,16,0.3530566467741929,0.584013141935479
2024-10-30,2024-11-08,10,0.06743759838709629,0.12307741290322483
2024-11-10,2024-11-17,8,0.11773485362903235,0.21256656774193772
2024-11-30,2024-12-12,13,0.12100763672456558,0.22571986129032595
2025-01-01,2025-01-19,19,0.14559500151623475,0.43937960625000017
2025-01-22,2025-03-23,61,0.22727345050237976,0.48369313870967545
2025-03-29,2025-04-07,10,0.12185513903225917,0.1990950612903184
2025-05-12,2025-05-18,7,0.14209184792626672,0.22113090967741655
2025-07-19,2025-07-23,5,0.18003553612903148,0.23621013870967644
2025-08-03,2025-08-17,15,0.26195715118279517,0.47660348709677436
2025-09-17,2025-09-21,5,0.1608681232258057,0.20485236129031748
2025-10-19,2025-11-03,16,0.14662966129032284,0.2870568064516128
