Region,TotalEvents,ElNino,Neutral,LaNina,ChiSquare,PValue,CramersV
North,49,8,13,28,13.265306122448981,0.0013166652545591798,0.3679133954555091
Central,40,8,8,24,12.8,0.001661557273173934,0.4
South,28,13,8,7,2.214285714285714,0.33050190452744915,0.19884872724392935
