DOY,Climatology,Threshold90
1,27.796885011079546,28.28137544375
2,27.787468205347594,28.271019652941177
3,27.778301249494948,28.26080683888889
4,27.769501164114832,28.251008163157895
5,27.7610503675,28.242189355
6,27.753010637878788,28.233869233333333
7,27.745401261157028,28.225866422727275
8,27.738215702766798,28.218080447826086
9,27.73143962689394,28.210943304166666
10,27.72504710418182,28.204357368
11,27.71902001625874,28.197994123076924
12,27.713322675925927,28.19181024814815
13,27.707927067045453,28.185020724999998
14,27.702794880721004,28.178554751724135
15,27.697889771060606,28.172307036666666
16,27.69324558416422,28.166483651612904
17,27.68065593181818,28.151249880645164
18,27.668731869501464,28.13698544516129
19,27.65746335131965,28.122638129032257
20,27.646870111730205,28.10809615483871
21,27.636960326099707,28.09432527096774
22,27.627735472434015,28.082110245161292
23,27.619177042521994,28.07098365483871
24,27.61138605982405,28.060713412903223
25,27.60449249032258,28.05131027096774
26,27.598561240469206,28.042235338709677
27,27.593610538563052,28.033894254838707
28,27.5897165,28.026927745161288
29,27.586903943108503,28.021507548387095
30,27.585124896041055,28.017790241935483
31,27.584405831378298,28.01533476451613
32,27.58475486143695,28.013812841935483
33,27.586109731231673,28.013261912903225
34,27.588449666129033,28.01363934516129
35,27.5916972813783,28.014797238709676
36,27.59580268005865,28.01667744516129
37,27.600692959090907,28.019098741935483
38,27.606425580351903,28.02236150645161
39,27.61295678797654,28.026146683870966
40,27.620278015249266,28.03068865483871
41,27.628520169501467,28.036032029032256
42,27.63769033797654,28.042421732258063
43,27.647879745454546,28.050088435483868
44,27.65913352727273,28.059351200000002
45,27.671505918914956,28.06987499354839
46,27.68499578489736,28.081489412903228
47,27.699603069941347,28.093873903225806
48,27.715347058651023,28.10818893548387
49,27.732182211143698,28.124552841935483
50,27.750083177565983,28.14286467096774
51,27.769092940762462,28.163673222580645
52,27.789197998533723,28.18536328064516
53,27.810464723460413,28.208845170967738
54,27.832797552932554,28.233931593548387
55,27.856258640029324,28.260375612903225
56,27.880696177272725,28.288393506451612
57,27.90612104208211,28.31681603870968
58,27.932620912463342,28.347055190322585
59,27.96015475953079,28.377798625806452
60,27.988711848387098,28.410143274193548
61,28.01837359178886,28.442680109677422
62,28.04905159105572,28.478241980645162
63,28.080667163782994,28.515004593548387
64,28.11318737947214,28.552915164516126
65,28.1466484957478,28.592348183870968
66,28.181079468035186,28.63280834516129
67,28.216583037683286,28.674171170967742
68,28.25322587609971,28.715634287096776
69,28.290915507038125,28.757505464516132
70,28.32966325777126,28.800401374193548
71,28.36949935058651,28.8440191
72,28.410247214956012,28.889096809677422
73,28.451921315249265,28.935656319354838
74,28.49447304266862,28.982322825806452
75,28.537873190615837,29.030446887096772
76,28.582015934457473,29.078600274193544
77,28.62684303929619,29.12636563548387
78,28.672278923753666,29.17471631612903
79,28.718199810117305,29.221604822580645
80,28.7645501931085,29.268695158064514
81,28.811356682991203,29.31600571612903
82,28.85853932521994,29.36441971935484
83,28.906115563929617,29.41316566451613
84,28.953963426686215,29.460888970967744
85,29.002071170381228,29.508195074193544
86,29.050316860703813,29.555365658064517
87,29.0988571186217,29.60432921935484
88,29.147695810263933,29.654064383870967
89,29.196757898387098,29.703438429032257
90,29.246028338416423,29.75422529032258
91,29.29545881612903,29.805254529032258
92,29.345013349853375,29.857525032258064
93,29.394700264662756,29.907883751612903
94,29.44447977829912,29.956810467741935
95,29.49443094208211,30.0060212
96,29.544514271407625,30.054010045161288
97,29.594613240029325,30.1029193
98,29.644465696920822,30.151376993548386
99,29.693806974780056,30.20150061612903
100,29.742426303225805,30.251925058064515
101,29.790206368181817,30.30346114516129
102,29.83697781495601,30.35571850967742
103,29.882593780351907,30.406417848387097
104,29.926932290909093,30.45678530967742
105,29.969885280351907,30.506365922580645
106,30.011321357331376,30.554613306451614
107,30.05125405483871,30.60279013225806
108,30.089688897360702,30.650965206451612
109,30.12652087346041,30.698942677419357
110,30.161798462316714,30.747001067741934
111,30.195647796187682,30.79331491935484
112,30.227971011583577,30.83814663548387
113,30.258656285923756,30.880255848387097
114,30.28765745894428,30.92167492903226
115,30.314888600146627,30.962603832258065
116,30.34041490718475,31.0038455
117,30.364171651906158,31.043926493548387
118,30.385771193401762,31.080543167741933
119,30.404958703812316,31.11587948064516
120,30.421596537096775,31.14962224516129
121,30.435594468914957,31.180852261290323
122,30.446822346627563,31.20927043548387
123,30.455246949413485,31.23282339032258
124,30.460856051612904,31.253413548387098
125,30.463606214076243,31.26804269677419
126,30.463406383284457,31.275156000000003
127,30.46011209090909,31.276983477419353
128,30.45378066627566,31.27075689032258
129,30.44474163929619,31.262160751612903
130,30.433330046187685,31.25033956129032
131,30.419907992082113,31.235966470967742
132,30.404700771261,31.218119254838708
133,30.388000585630497,31.19694901935484
134,30.370052138709678,31.17352662903226
135,30.351086670527856,31.14666445483871
136,30.331226731671556,31.118842487096778
137,30.310596333431086,31.089936319354837
138,30.289206804692082,31.059404903225808
139,30.26707817111437,31.027948012903224
140,30.24428305601173,30.994436603225807
141,30.22082116832845,30.960064638709678
142,30.19652733211144,30.925004729032256
143,30.171379949413488,30.888738280645164
144,30.145375059824044,30.85066356451613
145,30.118498674633432,30.810191954838707
146,30.090824034017597,30.76780569032258
147,30.062329110557183,30.722030193548385
148,30.033123110557185,30.675105141935482
149,30.003523254985335,30.626363861290322
150,29.973766311583578,30.576160845161294
151,29.944020335043987,30.52524720967742
152,29.91437794941349,30.473218229032256
153,29.885041421260997,30.42054141290323
154,29.856100422140763,30.370135222580647
155,29.82764247170088,30.320228448387095
156,29.799767125513196,30.275447270967746
157,29.772537025073312,30.235146319354836
158,29.746121612609972,30.19822806451613
159,29.72056865131965,30.166700741935482
160,29.69578666070381,30.136016058064516
161,29.6716738,30.106418554838708
162,29.64807103005865,30.078050983870966
163,29.624886742815246,30.050365938709678
164,29.601989398387097,30.023437709677417
165,29.579290953079177,29.997583038709674
166,29.55665892155425,29.972520377419354
167,29.534085939296187,29.947794245161287
168,29.51161857375367,29.92334926451613
169,29.489329627859238,29.899320970967743
170,29.467283110410555,29.875116764516132
171,29.44551279105572,29.850995906451615
172,29.42405324369501,29.826991967741936
173,29.40300634090909,29.802617506451615
174,29.382481910410558,29.77897257419355
175,29.36261124706745,29.756201658064516
176,29.343410151906156,29.7351907
177,29.32493006246334,29.715555706451614
178,29.30720370938416,29.697549196774194
179,29.290168720234604,29.680358970967742
180,29.27377270542522,29.66397095483871
181,29.257952125219944,29.648472645161288
182,29.24267168431085,29.633650761290323
183,29.22792262771261,29.619791780645162
184,29.21369914780059,29.606490516129032
185,29.199944194281525,29.59332114193548
186,29.18662677228739,29.580398219354837
187,29.17386043020528,29.567305306451612
188,29.161657350439885,29.554378887096775
189,29.149981137683284,29.54255001612903
190,29.138800951466276,29.530852551612906
191,29.12801114824047,29.519236825806452
192,29.117572691055717,29.507506232258063
193,29.107493848973608,29.49604838064516
194,29.09771753929619,29.486992541935482
195,29.088130083577713,29.479381858064514
196,29.078722314516128,29.472262348387094
197,29.069423949853373,29.465736361290322
198,29.06010220351906,29.458497403225806
199,29.050694845601175,29.449854287096773
200,29.041144000146623,29.44066757419355
201,29.031431621700882,29.432087341935482
202,29.021623844134897,29.42472423548387
203,29.011765319061585,29.417555477419356
204,29.00190116246334,29.41035667096774
205,28.992093152492668,29.403477116129032
206,28.982436835923753,29.397002458064517
207,28.972991011583577,29.390533
208,28.963829043695014,29.38432321612903
209,28.95494858181818,29.378374087096773
210,28.94644756085044,29.37269682580645
211,28.938396986070384,29.367985787096774
212,28.93087253900293,29.36383489032258
213,28.92388749750733,29.359661229032255
214,28.917421546920824,29.35565170645161
215,28.91141579384164,29.3518542516129
216,28.905863452639295,29.348338770967743
217,28.90072024193548,29.34546858064516
218,28.895843412756598,29.34316625483871
219,28.891242648533726,29.341922080645162
220,28.886937744134897,29.34133126129032
221,28.88288902815249,29.341292487096773
222,28.879063459970673,29.341542812903224
223,28.875429409530792,29.342031516129033
224,28.87195333416422,29.342363467741936
225,28.868675856011727,29.341212680645164
226,28.86565268372434,29.338985029032262
227,28.862829569501468,29.336757377419353
228,28.860236100146626,29.33419284516129
229,28.857996970087974,29.332527116129036
230,28.856110474926687,29.331947548387095
231,28.854584639002937,29.331371464516128
232,28.85343278504399,29.329349777419356
233,28.85260439237537,29.32657518387097
234,28.852073943695018,29.32305569677419
235,28.851824204252203,29.31971310322581
236,28.85177047653959,29.316483299999998
237,28.851777973900294,29.31374331612903
238,28.851805408797656,29.311482361290324
239,28.851736891348974,29.309221406451613
240,28.851507718621704,29.30693562580645
241,28.850972100293255,29.30430406129032
242,28.85007731378299,29.301387777419354
243,28.84874363753666,29.298376890322583
244,28.847069880351906,29.295138035483873
245,28.845082905718478,29.291428448387098
246,28.84280414897361,29.287781790322583
247,28.84026940498534,29.28421010322581
248,28.837619089736073,29.280519838709676
249,28.834982999853374,29.27679182580645
250,28.832502139296185,29.27269887741935
251,28.830256873607038,29.268285532258066
252,28.828439357038125,29.26468637419355
253,28.82715960293255,29.261364538709678
254,28.82643820175953,29.258798687096775
255,28.826283416715544,29.25727230645161
256,28.82672710322581,29.257424141935484
257,28.82777445381232,29.259604538709677
258,28.829497960117305,29.26309010322581
259,28.83188354237537,29.267218474193548
260,28.834914630645162,29.271967680645158
261,28.838511676539593,29.27761487419355
262,28.84267931026393,29.28405537419355
263,28.847382291788858,29.29286083225806
264,28.85259539941349,29.303014748387096
265,28.85841184824047,29.313913558064513
266,28.8648338771261,29.32562084516129
267,28.871872673167157,29.33870616129032
268,28.87955814706745,29.351589977419355
269,28.88793482052786,29.36464718064516
270,28.897075702052785,29.377879774193545
271,28.90702081202346,29.39113719354839
272,28.91785050102639,29.405739058064515
273,28.92943933944282,29.421398451612905
274,28.94166326686217,29.43652852903226
275,28.954388712756597,29.45146093548387
276,28.967537125073314,29.46664289032258
277,28.98103703504399,29.481468299999996
278,28.994849824340175,29.49581761935484
279,29.008792435337245,29.51007513548387
280,29.02262956627566,29.524015406451614
281,29.036174102932552,29.53775567419355
282,29.04928220542522,29.5512080483871
283,29.061878023313785,29.563210564516126
284,29.073946034897364,29.574833451612903
285,29.085560070527862,29.58536543548387
286,29.09670977111437,29.59459044193548
287,29.10728565542522,29.601940929032256
288,29.117269527419353,29.607026151612903
289,29.12657545190616,29.61078579677419
290,29.135240462316712,29.61433564193548
291,29.143273485337243,29.617359241935485
292,29.15069149882698,29.619831509677418
293,29.157464582844575,29.620887041935482
294,29.163476351612903,29.620736458064517
295,29.16873998255132,29.61956532903226
296,29.17308750190616,29.6183942
297,29.176441738269794,29.6168352
298,29.178788915689147,29.612768635483874
299,29.18008949853372,29.607694980645164
300,29.180327647800585,29.601678193548388
301,29.17954666392962,29.59544799032258
302,29.17774404340176,29.5888138
303,29.174910659384167,29.58087877419355
304,29.17114923372434,29.571675661290325
305,29.166622116862168,29.562445209677417
306,29.161351131818183,29.55224572580645
307,29.15539779046921,29.542098864516127
308,29.14880031246334,29.5323327
309,29.14149566539589,29.522891693548384
310,29.133511594281526,29.51327351935484
311,29.124930049120234,29.50315759032258
312,29.11572467595308,29.4929694516129
313,29.105892646041056,29.48226911612903
314,29.09530740058651,29.47115345483871
315,29.083877069941348,29.459174019354837
316,29.07149125307918,29.44656016129032
317,29.05818795982405,29.432789551612906
318,29.044032943841643,29.417968
319,29.029101392668625,29.402832732258062
320,29.01351609442815,29.38684296451613
321,28.997264862463346,29.370510477419355
322,28.98031847096774,29.353342187096775
323,28.96272643181818,29.33591166129032
324,28.94455194648094,29.319177993548386
325,28.92596611260997,29.302377935483868
326,28.907032471847508,29.284733861290324
327,28.887834924340176,29.266913451612904
328,28.868382491495602,29.24882157096774
329,28.84865429780059,29.23165760645161
330,28.82864933665689,29.214567674193546
331,28.808341415395898,29.196749506451614
332,28.787717664222875,29.177530261290325
333,28.766766876832847,29.157957367741933
334,28.745489730938417,29.1380456
335,28.72386247170088,29.11808186129032
336,28.701817004252202,29.098304
337,28.679303294281524,29.0794019
338,28.656267186656894,29.06040584516129
339,28.632720867155427,29.041043412903225
340,28.608738788563052,29.02106676774193
341,28.584376301466275,29.000505593548386
342,28.559711267888567,28.97982926451613
343,28.53478896920821,28.959252003225807
344,28.50964621202346,28.93884657096774
345,28.484335691202347,28.918667235483873
346,28.45888540337243,28.898798832258066
347,28.43341376979472,28.87931669032258
348,28.407956836950145,28.860108432258063
349,28.382589545014664,28.8406905516129
350,28.35730982478006,28.820948361290323
351,28.34508784787879,28.811893446666666
352,28.33286260768025,28.802580410344827
353,28.320623726785715,28.793527510714284
354,28.308387222558924,28.78410511111111
355,28.296120582867136,28.774662334615382
356,28.28377647309091,28.764902044
357,28.271282335416668,28.755418583333334
358,28.25860558695652,28.74534814347826
359,28.24575469979339,28.734758159090912
360,28.232745224675323,28.723290733333336
361,28.219617657727277,28.71194325
362,28.206370483971295,28.701240689473682
363,28.192937989646467,28.69182741111111
364,28.17931605748663,28.68268825882353
365,28.165466609943184,28.67364874375
