DOY,Threshold90
1,26.7277541
2,26.716094299999998
3,26.6731673
4,26.6122381
5,26.5619255
6,26.5010035
7,26.4635448
8,26.4394677
9,26.4105995
10,26.3739417
11,26.3197266
12,26.3184142
13,26.2947828
14,26.3173308
15,26.3244641
16,26.269742100000002
17,26.2240918
18,26.1406856
19,26.1181296
20,26.1234477
21,26.083844199999998
22,26.069969
23,26.0892122
24,26.120149100000003
25,26.1860617
26,26.2209095
27,26.189958
28,26.1822932
29,26.1977735
30,26.185730900000003
31,26.186745000000002
32,26.1404552
33,26.1630747
34,26.1302344
35,26.086657900000002
36,26.0568831
37,26.0626036
38,26.0993955
39,26.0990141
40,26.1238302
41,26.1752231
42,26.2042338
43,26.2495577
44,26.3628282
45,26.3713656
46,26.3948959
47,26.3768068
48,26.436363200000002
49,26.5746224
50,26.6036787
51,26.679254800000002
52,26.7510359
53,26.833021000000002
54,26.851209400000002
55,26.918038000000003
56,26.9402817
57,26.9703634
58,27.0419682
59,27.0658652
60,27.1200125
61,27.2017022
62,27.2953579
63,27.3755138
64,27.4920606
65,27.6182546
66,27.7074814
67,27.7861501
68,27.812702
69,27.8842788
70,27.9287787
71,27.9275732
72,27.955462
73,27.971133000000002
74,28.092883999999998
75,28.1708818
76,28.2354476
77,28.2864507
78,28.3938211
79,28.4768827
80,28.502562299999997
81,28.493813
82,28.4658795
83,28.4633119
84,28.5474165
85,28.5919669
86,28.628884
87,28.7212649
88,28.7159132
89,28.7323473
90,28.7768922
91,28.849459799999998
92,28.878577099999998
93,28.9147417
94,28.9311344
95,28.967355700000002
96,29.077848499999998
97,29.21255
98,29.1905967
99,29.2424221
100,29.2982812
101,29.3496946
102,29.431542
103,29.539512000000002
104,29.6175127
105,29.6253199
106,29.6392034
107,29.6454282
108,29.7175544
109,29.8328621
110,29.8269027
111,29.845524500000003
112,29.8830913
113,30.0226918
114,30.1155367
115,30.1063656
116,30.063954600000002
117,30.1039712
118,30.1272863
119,30.204798200000003
120,30.213986600000002
121,30.2856906
122,30.374687700000003
123,30.385617800000002
124,30.4319023
125,30.6187557
126,30.6807582
127,30.7029566
128,30.7542331
129,30.8084961
130,30.901722499999998
131,30.8841756
132,30.8502908
133,30.9529348
134,31.003786
135,31.0135873
136,31.0751555
137,31.129071099999997
138,31.040984299999998
139,30.8235502
140,30.8136456
141,30.8104986
142,30.7548302
143,30.7334678
144,30.6920686
145,30.6440052
146,30.6141784
147,30.6392725
148,30.538383
149,30.509478599999998
150,30.482726600000003
151,30.468175900000002
152,30.4620539
153,30.4940165
154,30.4713934
155,30.4912315
156,30.5125082
157,30.5508014
158,30.4690034
159,30.473225199999998
160,30.4625965
161,30.3988971
162,30.3715194
163,30.3543503
164,30.3246932
165,30.230316
166,30.2000339
167,30.1855244
168,30.187244300000003
169,30.164321700000002
170,30.1786701
171,30.109213099999998
172,30.0006369
173,29.9105948
174,29.9884828
175,29.9515725
176,30.0979482
177,30.1042467
178,30.0811096
179,30.0077558
180,29.992646800000003
181,30.0099952
182,29.969890200000002
183,29.8924675
184,29.8910271
185,29.8550431
186,29.831553500000002
187,29.8159172
188,29.799191099999998
189,29.7695268
190,29.7339728
191,29.6913796
192,29.691861900000003
193,29.6434028
194,29.6009457
195,29.655360100000003
196,29.6574389
197,29.620252
198,29.6513599
199,29.7248498
200,29.7666938
201,29.760839400000002
202,29.7750338
203,29.714834
204,29.6210393
205,29.5558856
206,29.5520512
207,29.499058100000003
208,29.5117915
209,29.548767400000003
210,29.5379609
211,29.5295688
212,29.509631600000002
213,29.6146696
214,29.6923062
215,29.7729189
216,29.9566554
217,29.9216678
218,29.8188878
219,29.749574900000002
220,29.6661814
221,29.537326800000002
222,29.4950007
223,29.5790828
224,29.5991435
225,29.6637945
226,29.6830993
227,29.6044182
228,29.5028345
229,29.4328139
230,29.3842784
231,29.319437100000002
232,29.399155399999998
233,29.4499776
234,29.3931508
235,29.323988000000003
236,29.3158957
237,29.544041200000002
238,29.5308737
239,29.4872549
240,29.5553066
241,29.5870802
242,29.642766299999998
243,29.6747574
244,29.7324254
245,29.736281299999998
246,29.6751327
247,29.8235864
248,29.7361749
249,29.682156000000003
250,29.669777800000002
251,29.7375362
252,29.750905
253,29.7063569
254,29.6793276
255,29.6237943
256,29.5557737
257,29.5228147
258,29.6148284
259,29.7401628
260,29.6691816
261,29.567588
262,29.7206897
263,29.771300399999998
264,29.9022301
265,29.7833316
266,29.714652599999997
267,29.7197073
268,29.7544828
269,29.7110294
270,29.6562129
271,29.7733767
272,29.8431556
273,29.8522091
274,29.8607027
275,29.9057024
276,29.934205000000002
277,29.9267051
278,29.879490399999998
279,29.886777600000002
280,29.902470700000002
281,29.915192299999998
282,29.8944993
283,29.9917708
284,30.0624371
285,30.0859698
286,30.0090884
287,29.9947472
288,30.002951200000002
289,29.9539134
290,29.9551312
291,30.039439
292,30.0836883
293,30.0300136
294,29.992931900000002
295,29.9979677
296,29.917109500000002
297,29.7706181
298,29.6785197
299,29.6897705
300,29.621259000000002
301,29.6008097
302,29.565542999999998
303,29.6003554
304,29.6522808
305,29.543409999999998
306,29.5379304
307,29.5501301
308,29.4232021
309,29.4404797
310,29.395689400000002
311,29.3119343
312,29.3028027
313,29.228857899999998
314,29.069720800000002
315,28.993497
316,29.0298816
317,29.059227500000002
318,29.065801
