DOY,Threshold90
1,28.5254895
2,28.4755288
3,28.435397599999998
4,28.4118361
5,28.4088707
6,28.3655369
7,28.3143817
8,28.2660264
9,28.2453171
10,28.2608826
11,28.2262792
12,28.1915144
13,28.127860000000002
14,28.0841279
15,28.134905200000002
16,28.0803924
17,28.0636604
18,28.0359699
19,28.052501499999998
20,28.0933105
21,28.0755115
22,28.0397879
23,27.9966298
24,28.0049852
25,27.9781972
26,27.968321
27,27.951244
28,27.952449599999998
29,27.997361299999998
30,28.0061109
31,27.9472925
32,27.9091777
33,27.880769700000002
34,27.8749481
35,27.944185599999997
36,27.997623899999997
37,27.9287514
38,27.9283133
39,27.9099735
40,27.899029
41,27.9860441
42,27.923329199999998
43,27.911617
44,27.8824566
45,27.8974014
46,27.9116079
47,28.0002803
48,28.102828600000002
49,28.149766
50,28.031061800000003
51,28.084052
52,28.187590099999998
53,28.1349599
54,28.170046499999998
55,28.154251600000002
56,28.153857000000002
57,28.1382194
58,28.2414896
59,28.2805419
60,28.2725037
61,28.2993028
62,28.318020699999998
63,28.314395400000002
64,28.328183099999997
65,28.437132899999998
66,28.4602951
67,28.503783000000002
68,28.590407799999998
69,28.621824
70,28.6357236
71,28.6965802
72,28.781736300000002
73,28.8449101
74,28.8714512
75,28.929488199999998
76,28.940387700000002
77,29.0085421
78,29.0693387
79,29.1759959
80,29.2712577
81,29.2726897
82,29.294033000000002
83,29.3778932
84,29.3389362
85,29.4708059
86,29.5110004
87,29.5522739
88,29.6722293
89,29.6670192
90,29.700351
91,29.7449607
92,29.7454247
93,29.727685899999997
94,29.788221
95,29.8699314
96,29.928657
97,30.0166888
98,30.0899439
99,30.1306272
100,30.1686188
101,30.236504200000002
102,30.2174709
103,30.1886978
104,30.2539787
105,30.3589287
106,30.4464821
107,30.60648
108,30.714303
109,30.7156869
110,30.7124803
111,30.721823999999998
112,30.7997932
113,30.9050533
114,30.9817159
115,31.0250711
116,31.0576605
117,31.1203672
118,31.1903291
119,31.2552627
120,31.2576576
121,31.2591608
122,31.304442599999998
123,31.284535700000003
124,31.3209019
125,31.3528347
126,31.3125475
127,31.366659499999997
128,31.4961224
129,31.3803875
130,31.3370038
131,31.415720699999998
132,31.4370944
133,31.548646
134,31.567963
135,31.4907367
136,31.51882
137,31.391751
138,31.254495000000002
139,31.1478259
140,31.0237973
141,30.858853800000002
142,30.7136279
143,30.6343407
144,30.5721601
145,30.5245507
146,30.4588467
147,30.3955949
148,30.4072691
149,30.380562
150,30.3675064
151,30.3679343
152,30.4025389
153,30.3884163
154,30.3276771
155,30.3242791
156,30.303213
157,30.250867
158,30.195443800000003
159,30.148186
160,30.0992098
161,30.0314197
162,29.9740954
163,29.9145732
164,29.9038232
165,29.8684057
166,29.8312193
167,29.7994156
168,29.7550176
169,29.719293
170,29.765906100000002
171,29.727661
172,29.7038072
173,29.712533
174,29.7167899
175,29.713169399999998
176,29.6688032
177,29.6148467
178,29.6142499
179,29.6696182
180,29.663975399999998
181,29.6281179
182,29.605515
183,29.620123200000002
184,29.6321652
185,29.6192736
186,29.553674599999997
187,29.5249814
188,29.5031067
189,29.5207484
190,29.5206864
191,29.488043899999997
192,29.5104888
193,29.509504500000002
194,29.506755400000003
195,29.4753132
196,29.444192299999997
197,29.441238000000002
198,29.3987799
199,29.3594711
200,29.4119138
201,29.3660918
202,29.3348221
203,29.3240136
204,29.3061494
205,29.303192799999998
206,29.3153311
207,29.320552600000003
208,29.3534361
209,29.4180311
210,29.349299600000002
211,29.3077967
212,29.3588989
213,29.4898938
214,29.5057829
215,29.4297544
216,29.3470174
217,29.2620816
218,29.2015059
219,29.2205983
220,29.243896600000003
221,29.3295763
222,29.372089900000002
223,29.3333117
224,29.3298408
225,29.351778499999998
226,29.3248276
227,29.2705439
228,29.209369300000002
229,29.1510106
230,29.1669178
231,29.2152955
232,29.282264299999998
233,29.317859300000002
234,29.321241099999998
235,29.3144363
236,29.3125861
237,29.393336
238,29.331398
239,29.3455322
240,29.353652
241,29.352386499999998
242,29.3442515
243,29.3002386
244,29.282451799999997
245,29.270038600000003
246,29.2198681
247,29.1492802
248,29.1028271
249,29.1388023
250,29.212117000000003
251,29.199224400000002
252,29.2014012
253,29.1582727
254,29.1439197
255,29.2010323
256,29.249697599999998
257,29.3615624
258,29.289284300000002
259,29.2215728
260,29.1419745
261,29.182661000000003
262,29.1129122
263,29.112394
264,29.169338800000002
265,29.173759999999998
266,29.1581121
267,29.2264188
268,29.2718584
269,29.2056016
270,29.2725
271,29.274974
272,29.4071867
273,29.4737605
274,29.5288257
275,29.6234371
276,29.5441395
277,29.4753221
278,29.4315404
279,29.4531174
280,29.458178
281,29.4401006
282,29.503315
283,29.779879400000002
284,29.6553207
285,29.5939446
286,29.6343851
287,29.6686555
288,29.6484659
289,29.6420286
290,29.6519851
291,29.6597963
292,29.6486941
293,29.6737297
294,29.6915905
295,29.6249649
296,29.5767218
297,29.5330835
298,29.5510872
299,29.544788
300,29.5377356
301,29.536525899999997
302,29.602290500000002
303,29.6279376
304,29.5471535
305,29.472941300000002
306,29.508254500000003
307,29.508402200000003
308,29.5471856
309,29.4652199
310,29.446338299999997
311,29.4609959
312,29.4024822
313,29.5084764
314,29.485720399999998
315,29.4617465
316,29.4366117
317,29.332937500000003
318,29.301507
319,29.3575681
320,29.4293015
321,29.4110102
322,29.3765079
323,29.3393979
324,29.3085252
325,29.311005100000003
326,29.2981677
327,29.3093699
328,29.2743606
329,29.2455876
330,29.215035
331,29.1872657
332,29.145114799999998
333,29.1249016
334,29.089708599999998
335,29.0561475
336,29.0302778
337,28.9974448
338,28.9622282
339,28.980649
340,28.9893875
341,28.988432
342,28.9908127
343,28.9747749
344,28.9485074
345,28.908191100000003
346,28.8597426
347,28.8514044
348,28.8090709
349,28.7863255
350,28.7636179
351,28.7668766
352,28.7785111
353,28.7878683
354,28.769162299999998
355,28.7311969
356,28.697855500000003
357,28.677814
358,28.642579299999998
359,28.6342088
360,28.6114694
361,28.6068343
362,28.609645800000003
363,28.604553300000003
364,28.5706989
365,28.5410397
