Region,Driver,BestLag_Duration,Duration_r,Duration_p,BestLag_Intensity,Intensity_r,Intensity_p
North,ENSO,6,0.1352058422726855,0.354305068924406,0,-0.1320171697501392,0.3658733250568203
Central,ENSO,6,0.2897628096533614,0.0697333385542171,0,-0.1560955517930269,0.3361285214381465
South,ENSO,6,0.4334107347463502,0.021222233545963,6,0.3597478752681918,0.0600637418941912
North,IOD,3,0.0827597432236027,0.5888692871157691,2,-0.051973561384318,0.7345588862180022
Central,IOD,6,0.344091882410349,0.0296981644811625,0,-0.0993767401280394,0.5527744054819141
South,IOD,6,0.4585209825253103,0.0141271136582008,6,0.4696876479668847,0.0116760736001313
North,MEI,3,0.0367552951401068,0.8041193539858135,1,-0.2090005117449384,0.149526230514615
Central,MEI,0,0.2279156069210671,0.1572296387497904,6,0.1372413712331988,0.3984051108950464
South,MEI,6,0.2924118912925544,0.1310488331315888,0,-0.1959437608135537,0.3176515486452314
