Region,Driver,KruskalDuration_p,KruskalIntensity_p
North,ENSO,0.9986999933358476,0.8336392917331069
Central,ENSO,0.574213450535451,0.6490431370349012
South,ENSO,0.6196424153496386,0.831944000278911
North,IOD,0.2501858527736614,0.3073002273761578
Central,IOD,0.1275890028247756,0.5388308516001177
South,IOD,0.3514776928117606,0.4820962435186666
North,MEI,0.8005775062007476,0.2669942529556916
Central,MEI,0.3985561344912689,0.6529729908529961
South,MEI,0.9985004584745396,0.7958993917747561
