Region,Driver,ChiSquare,PValue
North,ENSO,3.644700207200208,0.7246289500201446
Central,ENSO,11.118181818181816,0.0847918375397732
South,ENSO,8.187878787878788,0.2246594943732147
North,IOD,4.695221815221816,0.5834540433654598
Central,IOD,5.505019240019241,0.4808502689587873
South,IOD,1.6474331550802137,0.6486831255660737
North,MEI,7.211761277937749,0.3017069925839076
Central,MEI,22.96212121212121,0.0008092649610574
South,MEI,8.367132867132867,0.2124208773559787
