Region,Driver,TotalEvents,Phase1,Phase2,Phase3,ChiSquare,PValue,CramersV
North,ENSO,49.0,13.0,24.0,12.0,5.428571428571429,0.0662522591522616,0.235358420299404
North,IOD,44.0,13.0,30.0,1.0,28.954545454545457,5.159413569357592e-07,0.5736104301874528
North,MEI,49.0,8.0,13.0,28.0,13.26530612244898,0.0013166652545591,0.3679133954555091
Central,ENSO,40.0,10.0,20.0,10.0,5.0,0.0820849986238988,0.25
Central,IOD,38.0,10.0,27.0,1.0,27.526315789473685,1.0537472949150008e-06,0.6018208750541721
Central,MEI,40.0,8.0,8.0,24.0,12.8,0.0016615572731739,0.4
South,ENSO,28.0,15.0,10.0,3.0,7.785714285714286,0.0203870141345157,0.3728680896039482
South,IOD,27.0,10.0,17.0,0.0,16.22222222222222,0.000300185148769,0.5480980958129164
South,MEI,28.0,13.0,8.0,7.0,2.214285714285714,0.3305019045274491,0.1988487272439293
