Region,Horizon_Days,Best_Model,f1,precision,recall,roc_auc,pr_auc
central,3,logistic_regression,0.2349869451697128,0.1415094339622641,0.6923076923076923,0.8404962779156329,0.1865994502525348
central,7,logistic_regression,0.3051251489868891,0.1865889212827988,0.8366013071895425,0.7282655985117843,0.1885583042509305
central,14,logistic_regression,0.3986194995685936,0.2692307692307692,0.7674418604651163,0.6062850607265399,0.242008306795929
north,3,random_forest,0.1643835616438356,0.16,0.1690140845070422,0.8097324045062311,0.1612712470896036
north,7,logistic_regression,0.2528735632183908,0.1505131128848346,0.7904191616766467,0.6444929167187666,0.1548609696130085
north,14,logistic_regression,0.3893294881038212,0.2559241706161137,0.8132530120481928,0.6119798342305393,0.2915309216142951
south,3,xgboost,0.1379310344827586,1.0,0.074074074074074,0.8037528107311778,0.160791605321082
south,7,gradient_boosting,0.183206106870229,0.1764705882352941,0.1904761904761904,0.780652418447694,0.1293749364431594
south,14,logistic_regression,0.2275574112734864,0.1310096153846154,0.8650793650793651,0.6693795959163275,0.1239554156640726
