Category,Events,Percentage
Strong El Nino,0,0.0
Moderate El Nino,5,12.5
Weak El Nino,3,7.5
Neutral,8,20.0
Weak La Nina,11,27.5
Moderate La Nina,11,27.5
Strong La Nina,2,5.0
