Region,TotalEvents,ElNino,Neutral,LaNina,ChiSquare,PValue,CramersV
North,49,13,24,12,5.428571428571429,0.06625225915226168,0.23535842029940401
Central,40,10,20,10,5.0,0.0820849986238988,0.25
South,28,15,10,3,7.785714285714286,0.020387014134515713,0.37286808960394824
