time,ONI
1,-0.034500007
2,-0.03499999
3,-0.0205
4,-0.012000006
5,0.0035000048
6,0.0009999987
7,-0.014999995
8,-0.04400001
9,-0.065
10,-0.053499997
11,-0.033499997
12,-0.015500007
