time,ONI,Phase
2013-01-01,-0.29,Neutral
2013-02-01,-0.29,Neutral
2013-03-01,-0.21,Neutral
2013-04-01,-0.19,Neutral
2013-05-01,-0.27,Neutral
2013-06-01,-0.34,Neutral
2013-07-01,-0.35,Neutral
2013-08-01,-0.28,Neutral
2013-09-01,-0.21,Neutral
2013-10-01,-0.13,Neutral
2013-11-01,-0.1,Neutral
2013-12-01,-0.15,Neutral
2014-01-01,-0.28,Neutral
2014-02-01,-0.32,Neutral
2014-03-01,-0.14,Neutral
2014-04-01,0.15,Neutral
2014-05-01,0.31,Neutral
2014-06-01,0.23,Neutral
2014-07-01,0.1,Neutral
2014-08-01,0.11,Neutral
2014-09-01,0.28,Neutral
2014-10-01,0.54,El Nino
2014-11-01,0.71,El Nino
2014-12-01,0.77,El Nino
2015-01-01,0.69,El Nino
2015-02-01,0.61,El Nino
2015-03-01,0.65,El Nino
2015-04-01,0.81,El Nino
2015-05-01,1.02,El Nino
2015-06-01,1.25,El Nino
2015-07-01,1.57,El Nino
2015-08-01,1.91,El Nino
2015-09-01,2.21,El Nino
2015-10-01,2.47,El Nino
2015-11-01,2.64,El Nino
2015-12-01,2.75,El Nino
2016-01-01,2.63,El Nino
2016-02-01,2.28,El Nino
2016-03-01,1.71,El Nino
2016-04-01,1.05,El Nino
2016-05-01,0.49,Neutral
2016-06-01,0.0,Neutral
2016-07-01,-0.31,Neutral
2016-08-01,-0.5,La Nina
2016-09-01,-0.58,La Nina
2016-10-01,-0.64,La Nina
2016-11-01,-0.6,La Nina
2016-12-01,-0.45,Neutral
2017-01-01,-0.19,Neutral
2017-02-01,-0.02,Neutral
2017-03-01,0.18,Neutral
2017-04-01,0.31,Neutral
2017-05-01,0.4,Neutral
2017-06-01,0.39,Neutral
2017-07-01,0.19,Neutral
2017-08-01,-0.07,Neutral
2017-09-01,-0.34,Neutral
2017-10-01,-0.6,La Nina
2017-11-01,-0.77,La Nina
2017-12-01,-0.86,La Nina
2018-01-01,-0.77,La Nina
2018-02-01,-0.71,La Nina
2018-03-01,-0.57,La Nina
2018-04-01,-0.39,Neutral
2018-05-01,-0.13,Neutral
2018-06-01,0.06,Neutral
2018-07-01,0.14,Neutral
2018-08-01,0.27,Neutral
2018-09-01,0.53,El Nino
2018-10-01,0.81,El Nino
2018-11-01,0.97,El Nino
2018-12-01,0.92,El Nino
2019-01-01,0.89,El Nino
2019-02-01,0.86,El Nino
2019-03-01,0.84,El Nino
2019-04-01,0.77,El Nino
2019-05-01,0.64,El Nino
2019-06-01,0.52,El Nino
2019-07-01,0.33,Neutral
2019-08-01,0.19,Neutral
2019-09-01,0.23,Neutral
2019-10-01,0.39,Neutral
2019-11-01,0.58,El Nino
2019-12-01,0.66,El Nino
2020-01-01,0.64,El Nino
2020-02-01,0.63,El Nino
2020-03-01,0.53,El Nino
2020-04-01,0.3,Neutral
2020-05-01,0.01,Neutral
2020-06-01,-0.23,Neutral
2020-07-01,-0.36,Neutral
2020-08-01,-0.53,La Nina
2020-09-01,-0.85,La Nina
2020-10-01,-1.12,La Nina
2020-11-01,-1.2,La Nina
2020-12-01,-1.08,La Nina
2021-01-01,-0.91,La Nina
2021-02-01,-0.79,La Nina
2021-03-01,-0.71,La Nina
2021-04-01,-0.55,La Nina
2021-05-01,-0.39,Neutral
2021-06-01,-0.3,Neutral
2021-07-01,-0.35,Neutral
2021-08-01,-0.45,Neutral
2021-09-01,-0.63,La Nina
2021-10-01,-0.76,La Nina
2021-11-01,-0.91,La Nina
2021-12-01,-0.87,La Nina
2022-01-01,-0.82,La Nina
2022-02-01,-0.79,La Nina
2022-03-01,-0.86,La Nina
2022-04-01,-0.95,La Nina
2022-05-01,-0.9,La Nina
2022-06-01,-0.78,La Nina
2022-07-01,-0.76,La Nina
2022-08-01,-0.87,La Nina
2022-09-01,-0.97,La Nina
2022-10-01,-0.94,La Nina
2022-11-01,-0.85,La Nina
2022-12-01,-0.71,La Nina
2023-01-01,-0.54,La Nina
2023-02-01,-0.29,Neutral
2023-03-01,-0.02,Neutral
2023-04-01,0.27,Neutral
2023-05-01,0.57,El Nino
2023-06-01,0.84,El Nino
2023-07-01,1.12,El Nino
2023-08-01,1.37,El Nino
2023-09-01,1.6,El Nino
2023-10-01,1.83,El Nino
2023-11-01,1.99,El Nino
2023-12-01,2.06,El Nino
2024-01-01,1.92,El Nino
2024-02-01,1.62,El Nino
2024-03-01,1.26,El Nino
2024-04-01,0.82,El Nino
2024-05-01,0.49,Neutral
2024-06-01,0.22,Neutral
2024-07-01,0.08,Neutral
2024-08-01,-0.07,Neutral
2024-09-01,-0.17,Neutral
2024-10-01,-0.21,Neutral
2024-11-01,-0.3,Neutral
2024-12-01,-0.42,Neutral
2025-01-01,-0.45,Neutral
2025-02-01,-0.24,Neutral
2025-03-01,-0.06,Neutral
2025-04-01,0.02,Neutral
2025-05-01,-0.02,Neutral
2025-06-01,-0.04,Neutral
2025-07-01,-0.14,Neutral
2025-08-01,-0.28,Neutral
2025-09-01,-0.4,Neutral
2025-10-01,-0.51,La Nina
2025-11-01,-0.55,La Nina
2025-12-01,-0.54,La Nina
