Category,Events,Percentage
Strong Positive,3,11.11
Moderate Positive,1,3.7
Weak Positive,6,22.22
Neutral,17,62.96
Weak Negative,0,0.0
Moderate Negative,0,0.0
Strong Negative,0,0.0
