Lag,Duration_r,Duration_p,Intensity_r,Intensity_p
0,0.16454002618567518,0.3103061008430074,-0.15609555179302698,0.33612852143814653
1,0.17843249805781905,0.27063969488962974,-0.10148381624269727,0.5332192931751747
2,0.2088803064803659,0.19583574701879858,-0.04817035091542026,0.7678664796349719
3,0.24489323596840937,0.1277525604685218,0.005917868604784916,0.9710899357599277
6,0.28976280965336143,0.06973333855421718,0.12126225438977839,0.4560495036816981
