Region,Events_r,Events_p,Mean_Duration_r,Mean_Duration_p,Max_Duration_r,Max_Duration_p,Mean_Intensity_r,Mean_Intensity_p,Max_Intensity_r,Max_Intensity_p
North,0.20672193795715335,0.45977655180685556,-0.01983806873918191,0.9440559120921757,0.0807592228053816,0.7747929111489562,-0.08143240626323915,0.7729608467481783,0.07936692766929285,0.77858552366953
Central,-0.33426411311506243,0.31504421415248146,0.4611767202944457,0.1533687988079433,0.25739422669431855,0.44480451133048143,-0.03639328136697043,0.9153996162758906,-0.040661864786145155,0.9055130482945174
South,0.09302690448864026,0.7982555796000826,-0.0715973690779282,0.8441811477456778,-0.018741387461167214,0.959017611588857,-0.14292745043301297,0.6936552699756469,-0.07764090155458184,0.8311806411288913
