Region,Driver,Frequency_p,CramersV_x,Lag_Duration_r,Lag_Duration_p,Lag_Intensity_r,Annual_Events_r,Seasonal_p_x,Significant_Tests,CompositeScore,Rank,PValue,CramersV_y,Duration_r,Duration_p,Intensity_r,Intensity_p,Seasonal_p_y
North,ENSO,0.0662522591522616,0.235358420299404,0.1352058422726855,0.354305068924406,-0.1320171697501392,0.11783263297376691,0.7246289500201446,0,47.83685320825222,3,0.0662522591522616,0.235358420299404,0.1352058422726855,0.354305068924406,-0.1320171697501392,0.3658733250568203,0.7246289500201446
North,IOD,5.159413569357592e-07,0.5736104301874528,0.0827597432236027,0.5888692871157691,-0.051973561384318,0.20672195275773653,0.5834540433654598,1,58.895748812845774,1,5.159413569357592e-07,0.5736104301874528,0.0827597432236027,0.5888692871157691,-0.051973561384318,0.7345588862180022,0.5834540433654598
North,MEI,0.0013166652545591,0.3679133954555091,0.0367552951401068,0.8041193539858135,-0.2090005117449384,-0.1589658124794801,0.3017069925839076,1,50.315696272982265,2,0.0013166652545591,0.3679133954555091,0.0367552951401068,0.8041193539858135,-0.2090005117449384,0.149526230514615,0.3017069925839076
Central,ENSO,0.0820849986238988,0.25,0.2897628096533614,0.0697333385542171,-0.1560955517930269,-0.37922590262456823,0.0847918375397732,0,57.13685351153272,3,0.0820849986238988,0.25,0.2897628096533614,0.0697333385542171,-0.1560955517930269,0.3361285214381465,0.0847918375397732
Central,IOD,1.0537472949150008e-06,0.6018208750541721,0.344091882410349,0.0296981644811625,-0.0993767401280394,-0.33426409934912116,0.4808502689587873,2,87.03561528402922,1,1.0537472949150008e-06,0.6018208750541721,0.344091882410349,0.0296981644811625,-0.0993767401280394,0.5527744054819141,0.4808502689587873
Central,MEI,0.0016615572731739,0.4,0.2279156069210671,0.1572296387497904,0.1372413712331988,-0.5004713003542737,0.0008092649610574,2,78.50345067983565,2,0.0016615572731739,0.4,0.2279156069210671,0.1572296387497904,0.1372413712331988,0.3984051108950464,0.0008092649610574
South,ENSO,0.0203870141345157,0.3728680896039482,0.4334107347463502,0.021222233545963,0.3597478752681918,0.3470239640586201,0.2246594943732147,2,85.39223461776325,2,0.0203870141345157,0.3728680896039482,0.4334107347463502,0.021222233545963,0.3597478752681918,0.0600637418941912,0.2246594943732147
South,IOD,0.000300185148769,0.5480980958129164,0.4585209825253103,0.0141271136582008,0.4696876479668847,0.09302689459225025,0.6486831255660737,3,99.39294817269942,1,0.000300185148769,0.5480980958129164,0.4585209825253103,0.0141271136582008,0.4696876479668847,0.0116760736001313,0.6486831255660737
South,MEI,0.3305019045274491,0.1988487272439293,0.2924118912925544,0.1310488331315888,-0.1959437608135537,0.3341928548253945,0.2124208773559787,0,47.75699439251755,3,0.3305019045274491,0.1988487272439293,0.2924118912925544,0.1310488331315888,-0.1959437608135537,0.3176515486452314,0.2124208773559787
