Region,Driver,Events_vs_Index_r,Events_vs_Index_p
North,ENSO,0.11783263297376691,0.6757755771509636
Central,ENSO,-0.37922590262456823,0.25005054388276093
South,ENSO,0.3470239640586201,0.325886004226983
North,IOD,0.20672195275773653,0.45977651895752614
Central,IOD,-0.33426409934912116,0.3150442353229844
South,IOD,0.09302689459225025,0.7982556006912506
North,MEI,-0.1589658124794801,0.571476342541872
Central,MEI,-0.5004713003542737,0.11690634546994984
South,MEI,0.3341928548253945,0.3452742576874645
