Region,Category,Rank,Event_ID,Start_Date,End_Date,Duration_Days,Max_Intensity,Output_Dir,During_Dates
South,longest,1,S25,2024-06-14,2024-09-02,81,0.4631175096774171,longest/south/rank01_S25_2024-06-14,"2024-06-14, 2024-07-04, 2024-07-24, 2024-08-13, 2024-09-02"
South,longest,2,S27,2024-10-29,2025-01-16,79,0.6199571483870976,longest/south/rank02_S27_2024-10-29,"2024-10-29, 2024-11-17, 2024-12-07, 2024-12-27, 2025-01-16"
South,longest,3,S22,2024-01-25,2024-03-08,44,0.3416137032258,longest/south/rank03_S22_2024-01-25,"2024-01-25, 2024-02-04, 2024-02-15, 2024-02-26, 2024-03-08"
South,longest,4,S24,2024-04-14,2024-05-24,41,0.9428967677419352,longest/south/rank04_S24_2024-04-14,"2024-04-14, 2024-04-24, 2024-05-04, 2024-05-14, 2024-05-24"
South,longest,5,S09,2015-12-08,2016-01-15,39,0.2308253709677394,longest/south/rank05_S09_2015-12-08,"2015-12-08, 2015-12-17, 2015-12-27, 2016-01-05, 2016-01-15"
South,longest,6,S18,2020-08-17,2020-09-17,32,0.5959445129032268,longest/south/rank06_S18_2020-08-17,"2020-08-17, 2020-08-24, 2020-09-01, 2020-09-09, 2020-09-17"
South,longest,7,S11,2016-04-21,2016-05-22,32,0.4409555774193521,longest/south/rank07_S11_2016-04-21,"2016-04-21, 2016-04-28, 2016-05-06, 2016-05-14, 2016-05-22"
South,longest,8,S21,2023-11-03,2023-11-26,24,0.3584447709677434,longest/south/rank08_S21_2023-11-03,"2023-11-03, 2023-11-08, 2023-11-14, 2023-11-20, 2023-11-26"
South,longest,9,S08,2015-10-11,2015-11-02,23,0.3434494935483911,longest/south/rank09_S08_2015-10-11,"2015-10-11, 2015-10-16, 2015-10-22, 2015-10-27, 2015-11-02"
South,longest,10,S26,2024-09-26,2024-10-12,17,0.2684732903225857,longest/south/rank10_S26_2024-09-26,"2024-09-26, 2024-09-30, 2024-10-04, 2024-10-08, 2024-10-12"
