accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,region,horizon,model,split
0.9513698630136986,0.0,0.0,0.0,0.4979314330909865,0.048465782008132,0.04863824268460728,north,3,climatology,test
0.7595890410958904,0.01048951048951049,0.04225352112676056,0.01680672268907563,0.37844634401078897,0.04700698739192899,0.21326666013959197,north,3,persistence,test
0.5739726027397261,0.08819133034379671,0.8309859154929577,0.15945945945945947,0.7023595858810168,0.0758400058737796,0.31904005565185817,north,3,logistic_regression,test
0.8856164383561644,0.0,0.0,0.0,0.5056314285581969,0.1159859667488246,0.11243008835211153,north,7,climatology,test
0.7116438356164384,0.055944055944055944,0.09580838323353294,0.0706401766004415,0.4062825624852383,0.10676433368057978,0.2628544801975533,north,7,persistence,test
0.4657534246575342,0.15051311288483465,0.7904191616766467,0.25287356321839083,0.6444929167187666,0.1548609696130085,0.37461700327406117,north,7,logistic_regression,test
0.7726027397260274,0.0,0.0,0.0,0.48041100572502776,0.22347494813398278,0.21940504174434627,north,14,climatology,test
0.6534246575342466,0.1958041958041958,0.1686746987951807,0.18122977346278318,0.4652346086473554,0.21852394893321087,0.3188281843681227,north,14,persistence,test
0.41986301369863016,0.2559241706161137,0.8132530120481928,0.3893294881038212,0.6119798342305393,0.29153092161429517,0.38464369784041424,north,14,logistic_regression,test
0.9554794520547946,0.0,0.0,0.0,0.5442238764819409,0.05305584826132771,0.04396936046040366,central,3,climatology,test
0.7643835616438356,0.0035587188612099642,0.015384615384615385,0.005780346820809248,0.3917838433967467,0.04129499335371068,0.20570076038394985,central,3,persistence,test
0.7993150684931507,0.14150943396226415,0.6923076923076923,0.2349869451697128,0.8404962779156329,0.18659945025253488,0.14724136577810312,central,3,logistic_regression,test
0.8952054794520548,0.0,0.0,0.0,0.5299543433797901,0.11291913865602317,0.10221690848666613,central,7,climatology,test
0.7095890410958904,0.017793594306049824,0.032679738562091505,0.02304147465437788,0.4149601692245375,0.09380476030689663,0.25815409328938516,central,7,persistence,test
0.6006849315068493,0.18658892128279883,0.8366013071895425,0.30512514898688914,0.7282655985117843,0.18855830425093056,0.2753970480878405,central,7,logistic_regression,test
0.7938356164383562,0.0,0.0,0.0,0.48749064808418296,0.2029971035881699,0.19833427899813572,central,14,climatology,test
0.6410958904109589,0.10320284697508897,0.09634551495016612,0.09965635738831616,0.4235665412100591,0.18768376653750388,0.32796085772857336,central,14,persistence,test
0.5226027397260274,0.2692307692307692,0.7674418604651163,0.3986194995685936,0.6062850607265399,0.24200830679592905,0.34149813296348763,central,14,logistic_regression,test
0.9815068493150685,0.0,0.0,0.0,0.5100798635341552,0.018963608689636084,0.018857907108697416,south,3,climatology,test
0.7897260273972603,0.0035460992907801418,0.037037037037037035,0.006472491909385114,0.4115298131348375,0.017531939823702405,0.19454698597021616,south,3,persistence,test
0.7315068493150685,0.05378973105134474,0.8148148148148148,0.10091743119266056,0.820862732935308,0.05565920948561511,0.18785738836894808,south,3,logistic_regression,test
0.9568493150684931,0.0,0.0,0.0,0.5199293270159412,0.045384936872216716,0.04305341655183594,south,7,climatology,test
0.7705479452054794,0.01773049645390071,0.07936507936507936,0.028985507246376812,0.44596698140005225,0.04008547608272883,0.21269690672364086,south,7,persistence,test
0.5136986301369864,0.06693440428380187,0.7936507936507936,0.12345679012345678,0.6666553044505801,0.059867802989474216,0.3351612921544854,south,7,logistic_regression,test
0.9136986301369863,0.0,0.0,0.0,0.5326027462459247,0.09314811094839218,0.08247548026262462,south,14,climatology,test
0.736986301369863,0.0425531914893617,0.09523809523809523,0.058823529411764705,0.4503343566312082,0.07949529612706599,0.24667213711913355,south,14,persistence,test
0.4931506849315068,0.1310096153846154,0.8650793650793651,0.22755741127348644,0.6693795959163275,0.12395541566407267,0.3566184802661524,south,14,logistic_regression,test
