Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
Positive,10,20.7,21.0,12.684636376341262,44,0.1544583715141814,0.9075480967741923
Neutral,27,12.851851851851851,9.0,10.43921491191785,53,0.16256121348548352,0.8421781741935526
Negative,1,8.0,8.0,,8,0.0657481310483869,0.1649886999999985
