Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
Positive,10,20.0,15.5,13.241349377360804,44.0,0.18458867861031303,0.9428967677419352
Neutral,17,21.705882352941178,11.0,24.35098741807597,81.0,0.14310502811193776,0.6199571483870976
Negative,0,,,,,,
