Year,El Nino,La Nina,Neutral
2010,1,1,2
2015,1,0,0
2016,1,1,1
2017,0,0,1
2019,0,0,1
2020,0,1,3
2021,0,1,3
2022,0,6,0
2023,4,0,0
2024,3,0,5
2025,0,0,4
