Year,El Nino,La Nina,Neutral
2010,2,0,3
2015,4,0,0
2016,2,0,0
2017,0,1,0
2019,2,0,2
2020,0,1,1
2021,0,0,1
2023,2,0,0
2024,3,0,3
2025,0,1,0
