Region,TotalEvents,Positive,Neutral,Negative,ChiSquare,PValue,CramersV
North,44,13,30,1,28.954545454545457,5.159413569357592e-07,0.5736104301874528
Central,38,10,27,1,27.526315789473685,1.0537472949150008e-06,0.6018208750541721
South,27,10,17,0,16.22222222222222,0.0003001851487690369,0.5480980958129164
