Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,72.0,0.8894319408161404,69.0,0.7603013330253436
El Nino vs La Nina,30.5,0.3715306569359704,25.0,0.823529411764706
Neutral vs La Nina,20.0,0.4456201719159739,19.0,0.5734265734265734
