Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
El Nino,15,18.8,15.0,14.077337410584025,44,0.1614091315349043,0.9428967677419352
Neutral,10,25.0,13.0,29.249881291307073,81,0.15174153091679884,0.6199571483870976
La Nina,3,14.333333333333334,6.0,15.307950004273378,32,0.14273061795250983,0.5959445129032268
