Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,111.5,0.6271644784782682,78.0,0.3442129113242063
El Nino vs La Nina,63.5,0.3237422435303644,46.0,0.7913367801006604
Neutral vs La Nina,116.0,0.4933669133460361,109.0,0.7084414093482762
