Month,El Nino,La Nina,Neutral
1,2,0,0
3,4,0,0
4,3,0,2
5,0,0,2
6,1,0,1
7,0,0,2
8,1,1,0
9,1,0,1
10,1,1,2
11,1,1,0
12,1,0,0
