Category,Events,Percentage
Strong El Nino,2,4.08
Moderate El Nino,5,10.2
Weak El Nino,6,12.24
Neutral,24,48.98
Weak La Nina,12,24.49
Moderate La Nina,0,0.0
Strong La Nina,0,0.0
