Region,Driver,CompositeScore,Rank,Significant_Tests
North,ENSO,47.83685320825222,3,0
North,IOD,58.895748812845774,1,1
North,MEI,50.315696272982265,2,1
Central,ENSO,57.13685351153272,3,0
Central,IOD,87.03561528402922,1,2
Central,MEI,78.50345067983565,2,2
South,ENSO,85.39223461776325,2,2
South,IOD,99.39294817269942,1,3
South,MEI,47.75699439251755,3,0
