Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity
2010-03-18,2010-04-11,25,0.20987635212903327,0.34148795483871197
2010-04-23,2010-05-03,11,0.05699521964809439,0.11580850645161433
2010-05-07,2010-05-18,12,0.2333294817204298,0.45674337096773954
2010-09-27,2010-10-03,7,0.20047659539170581,0.28866894193548376
2015-11-21,2015-11-25,5,0.01587091483871177,0.036814548387095414
2016-01-01,2016-01-08,8,0.16695505529691834,0.24311455624999923
2016-05-05,2016-05-19,15,0.20141034430107443,0.3875133709677385
2016-08-22,2016-08-29,8,0.06574813104838695,0.16498869999999854
2017-09-10,2017-09-15,6,0.11484594731182736,0.2394576935483883
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301
2020-05-06,2020-05-12,7,0.060550082027649665,0.17211452903225677
2020-06-23,2020-07-02,10,0.08154661096774127,0.13293504516128962
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526
2021-01-07,2021-01-15,9,0.030263063629344264,0.05580663199999947
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585
2021-06-02,2021-06-08,7,0.21286593133640608,0.3230665516129072
2021-07-04,2021-07-08,5,0.07724268580645414,0.20082178064516043
2022-01-22,2022-01-29,8,0.07423094112903383,0.12554458709677618
2022-03-27,2022-04-02,7,0.10557335115207321,0.16224861612903396
2022-04-22,2022-05-05,14,0.1377281096774196,0.22871473870967662
2022-06-29,2022-07-04,6,0.05309520000000134,0.10862423870967675
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551
2022-08-28,2022-09-06,10,0.2365157603225793,0.43358520967741754
2023-05-04,2023-05-09,6,0.1544696059139774,0.3443401096774181
2023-05-31,2023-06-06,7,0.02676769815668223,0.047525790322580974
2023-11-04,2023-11-29,26,0.08879644193548504,0.2644608838709708
2023-12-07,2023-12-23,17,0.09821235433709026,0.23002873548387015
2024-01-01,2024-01-11,11,0.1532108770119778,0.2531095562499992
2024-01-24,2024-02-18,26,0.09514082952853638,0.2722620870967738
2024-04-11,2024-05-24,44,0.4071737870967743,0.9075480967741925
2024-07-08,2024-07-13,6,0.06518076827957131,0.1303017677419369
2024-08-09,2024-08-28,20,0.24280466548386972,0.355407532258063
2024-09-27,2024-10-02,6,0.22267299032258,0.4511085483870936
2024-10-05,2024-10-21,17,0.1953763377609117,0.3326565645161317
2024-10-28,2024-12-19,53,0.15259694440417415,0.2996832741935478
2025-01-01,2025-01-15,15,0.14778625903952022,0.27933455624999937
2025-02-20,2025-03-25,34,0.16766689971537055,0.33639162580645277
2025-07-12,2025-07-17,6,0.052663184408604735,0.08648414193548248
2025-08-01,2025-08-13,13,0.19242999230769334,0.301921745161291
