time,Mean,Maximum,Minimum,Std_Dev
1,-0.3445,1.93,-1.77,0.912864
2,-0.26000002,1.8,-1.59,0.86724
3,-0.31249997,1.33,-1.75,0.86461353
4,-0.39249998,1.32,-1.69,0.74574494
5,-0.331,1.24,-1.63,0.6964716
6,-0.4165,1.9,-1.9,0.8250121
7,-0.454,1.79,-2.42,0.9912905
8,-0.37649998,1.95,-2.38,0.9776733
9,-0.42,2.24,-2.26,1.0285861
10,-0.4135,2.15,-2.16,1.0350707
11,-0.3135,1.93,-2.01,1.0376556
12,-0.32250002,1.93,-1.85,0.9824024
