time,MEI
2006,0.057499994
2007,-0.5733333
2008,-1.0525
2009,-0.025000012
2010,-0.87166667
2011,-1.2775
2012,-0.295
2013,-0.38583335
2014,0.0050000027
2015,1.2991667
2016,0.45833334
2017,-0.47166666
2018,-0.25
2019,0.34583333
2020,-0.57666665
2021,-1.1808333
2022,-1.5500001
2023,0.12166666
2024,-0.15166667
2025,-0.8875
