Start_Date,End_Date,Duration,Mean_Intensity,Max_Intensity,Wind_30d_Before,Wind_21d_Before,Wind_14d_Before,Wind_7d_Before,Wind_During,Change_30d,Change_21d,Change_14d,Change_7d
2010-03-18,2010-04-11,25,0.2098763521290332,0.3414879548387119,3.599909356666667,3.4849479761904756,3.4742729999999997,3.7919757571428567,3.1007959124999993,-0.4991134441666678,-0.3841520636904763,-0.3734770875000004,-0.6911798446428574
2010-04-23,2010-05-03,11,0.0569952196480943,0.1158085064516143,3.1247564100000003,3.163933833333334,3.2518207571428577,3.006627271428571,2.6324873499999994,-0.4922690600000008,-0.5314464833333346,-0.6193334071428582,-0.37413992142857166
2010-05-07,2010-05-18,12,0.2333294817204298,0.4567433709677395,2.987064103333333,2.791383709523809,2.6837619285714283,2.638866085714286,3.265332063636363,0.27826796030303,0.473948354112554,0.5815701350649349,0.6264659779220771
2010-09-27,2010-10-03,7,0.2004765953917058,0.2886689419354837,5.036868293333333,4.296062961904762,3.8588935714285717,2.508797214285714,2.1851572000000004,-2.8517110933333325,-2.1109057619047618,-1.6737363714285713,-0.32364001428571365
2015-11-21,2015-11-25,5,0.0158709148387117,0.0368145483870954,4.096402003333333,4.11325317142857,4.317108892857143,4.229409457142857,5.253410075000001,1.1570080716666675,1.1401569035714303,0.9363011821428575,1.0240006178571432
2016-01-01,2016-01-08,8,0.1669550552969183,0.2431145562499992,5.12581558,5.0712308761904765,5.670513664285715,6.283032400000001,5.774310857142857,0.6484952771428567,0.7030799809523804,0.10379719285714195,-0.5087215428571437
2016-05-05,2016-05-19,15,0.2014103443010744,0.3875133709677385,3.3548462266666665,3.407580733333333,3.430344764285714,3.018338085714286,3.9909737,0.6361274733333335,0.5833929666666671,0.560628935714286,0.9726356142857142
2016-08-22,2016-08-29,8,0.0657481310483869,0.1649886999999985,6.814629306666665,7.155370938095238,6.9055026857142865,7.013563800000001,5.373310885714285,-1.4413184209523804,-1.7820600523809533,-1.5321918000000014,-1.6402529142857158
2017-09-10,2017-09-15,6,0.1148459473118273,0.2394576935483883,5.487830370000001,5.159744604761904,4.449942900000001,3.5595189142857144,4.061398280000001,-1.4264320900000005,-1.0983463247619039,-0.38854462000000023,0.5018793657142862
2019-10-01,2019-11-04,35,0.2293891580645162,0.5341625645161301,5.737992423333333,4.852639385714286,4.199564321428571,3.602563771428571,3.02251489117647,-2.715477532156863,-1.8301244945378161,-1.1770494302521013,-0.5800488802521011
2020-05-06,2020-05-12,7,0.0605500820276496,0.1721145290322567,2.9799426966666673,2.9573473476190477,2.9234217857142855,2.4301952571428567,2.630470483333333,-0.3494722133333341,-0.3268768642857145,-0.29295130238095224,0.20027522619047655
2020-06-23,2020-07-02,10,0.0815466109677412,0.1329350451612896,5.632294360000001,6.169122852380951,6.227321635714287,5.7034862142857135,4.8798764666666665,-0.7524178933333348,-1.2892463857142848,-1.3474451690476208,-0.8236097476190469
2020-07-18,2020-08-03,17,0.229599138899432,0.5450539129032279,5.34047763,5.628439485714286,5.360432942857144,5.353472442857144,4.95533866875,-0.38513896125,-0.6731008169642863,-0.40509427410714416,-0.39813377410714423
2020-08-27,2020-09-19,24,0.43032667782258,0.8421781741935526,6.690494776666667,6.0514898809523805,5.715296664285714,4.934776328571429,4.746268408695652,-1.944226367971015,-1.3052214722567284,-0.9690282555900618,-0.18850791987577686
2021-01-07,2021-01-15,9,0.0302630636293442,0.0558066319999994,5.524057006666668,5.84549068095238,5.7547017999999985,5.908907,5.933379825,0.4093228183333322,0.0878891440476206,0.17867802500000174,0.024472825000000142
2021-05-14,2021-05-21,8,0.3043162439516114,0.5335736806451585,2.7643537599999997,2.718622961904762,2.8962945928571426,2.828748542857143,3.6369217285714286,0.8725679685714289,0.9182987666666667,0.740627135714286,0.8081731857142858
2021-06-02,2021-06-08,7,0.212865931336406,0.3230665516129072,4.643314583333333,5.363403752380953,6.398929228571428,4.980591271428572,4.155611966666666,-0.4877026166666667,-1.2077917857142868,-2.243317261904762,-0.8249793047619054
2021-07-04,2021-07-08,5,0.0772426858064541,0.2008217806451604,6.499248546666667,6.364489100000001,5.837472785714285,5.235801199999999,4.758030125,-1.7412184216666668,-1.6064589750000007,-1.0794426607142844,-0.4777710749999988
2022-01-22,2022-01-29,8,0.0742309411290338,0.1255445870967761,5.117692363333333,4.936637657142857,4.530556392857143,4.475357057142857,3.5525232571428567,-1.5651691061904764,-1.3841144,-0.9780331357142864,-0.9228338000000007
2022-03-27,2022-04-02,7,0.1055733511520732,0.1622486161290339,4.19562561,3.471168157142858,3.157514985714286,3.247777085714286,2.977408366666667,-1.2182172433333327,-0.493759790476191,-0.18010661904761927,-0.27036871904761917
2022-04-22,2022-05-05,14,0.1377281096774196,0.2287147387096766,3.033820833333333,3.1046231,3.1532983214285717,3.0019240714285718,2.6712052384615386,-0.3626155948717944,-0.4334178615384614,-0.4820930829670331,-0.3307188329670332
2022-06-29,2022-07-04,6,0.0530952000000013,0.1086242387096767,5.6793360800000015,5.228794147619047,4.966926921428572,5.037877857142857,6.148829839999999,0.469493759999998,0.9200356923809521,1.1819029185714278,1.1109519828571424
2022-07-25,2022-08-03,10,0.2528771548387116,0.416600174193551,6.3093907666666675,6.647205119047619,6.362238242857144,4.724921171428571,3.4737428777777777,-2.83564788888889,-3.1734622412698417,-2.888495365079366,-1.2511782936507934
2022-08-28,2022-09-06,10,0.2365157603225793,0.4335852096774175,6.271230533333335,6.3166780000000005,5.6173569,5.066677557142858,3.5226325666666667,-2.7485979666666682,-2.7940454333333338,-2.094724333333333,-1.5440449904761917
2023-05-04,2023-05-09,6,0.1544696059139774,0.3443401096774181,3.0357872066666665,2.997365952380952,2.9925417928571427,2.6190568428571432,2.7138193200000003,-0.3219678866666662,-0.2835466323809519,-0.27872247285714247,0.09476247714285702
2023-05-31,2023-06-06,7,0.0267676981566822,0.0475257903225809,4.931709676666668,5.804694395238095,4.852998378571429,4.860417085714286,6.412305866666667,1.480596189999999,0.6076114714285721,1.5593074880952384,1.551888780952381
2023-11-04,2023-11-29,26,0.088796441935485,0.2644608838709708,3.4750128199999994,3.3154512095238093,3.2988710142857145,3.371927842857143,4.335839532,0.8608267120000002,1.0203883224761903,1.036968517714285,0.9639116891428565
2023-12-07,2023-12-23,17,0.0982123543370902,0.2300287354838701,4.806249313333334,5.183705595238096,5.554843235714286,5.3537246,5.080694568749999,0.27444525541666565,-0.10301102648809657,-0.4741486669642869,-0.27303003125000025
2024-01-01,2024-01-11,11,0.1532108770119778,0.2531095562499992,5.560285863333332,6.109063704761905,6.417157892857143,6.690333414285713,5.594170859999999,0.033884996666667,-0.5148928447619054,-0.822987032857144,-1.0961625542857139
2024-01-24,2024-02-18,26,0.0951408295285363,0.2722620870967738,5.687930016666666,5.364423438095239,5.243238071428571,5.181582757142857,5.171920560000001,-0.5160094566666649,-0.19250287809523758,-0.07131751142857023,-0.009662197142856321
