Comparison,Duration_U,Duration_p,Intensity_U,Intensity_p
El Nino vs Neutral,152.5,0.923431991455804,134.0,0.4939713011376954
El Nino vs La Nina,80.5,0.9125477871379428,79.0,0.9783030753359442
Neutral vs La Nina,143.0,0.9865418052023747,151.0,0.8273311597939109
