Phase,Events,MeanDuration,MedianDuration,StdDuration,MaxDuration,MeanIntensity,MaxIntensity
El Nino,10,17.5,14.0,12.624931242937084,44,0.14164739162451861,0.9075480967741923
Neutral,20,15.15,11.5,12.338536124038805,53,0.16206344428787656,0.5450539129032279
La Nina,10,10.3,8.5,5.313504806936128,24,0.1586834985011836,0.8421781741935526
