Date,SST
2006-01-01,27.597551
2006-01-02,27.583422
2006-01-03,27.572792
2006-01-04,27.571508
2006-01-05,27.562798
2006-01-06,27.568068
2006-01-07,27.570278
2006-01-08,27.581379
2006-01-09,27.582872
2006-01-10,27.561342
2006-01-11,27.555418
2006-01-12,27.542656
2006-01-13,27.569368
2006-01-14,27.606827
2006-01-15,27.57979
2006-01-16,27.544106
2006-01-17,27.50398
2006-01-18,27.476461
2006-01-19,27.462673
2006-01-20,27.44251
2006-01-21,27.426147
2006-01-22,27.40681
2006-01-23,27.384476
2006-01-24,27.39228
2006-01-25,27.340195
2006-01-26,27.333828
2006-01-27,27.341938
2006-01-28,27.333609
2006-01-29,27.330538
2006-01-30,27.336948
2006-01-31,27.357218
2006-02-01,27.411377
2006-02-02,27.48368
2006-02-03,27.519947
2006-02-04,27.553465
2006-02-05,27.534103
2006-02-06,27.534563
2006-02-07,27.573122
2006-02-08,27.595491
2006-02-09,27.642406
2006-02-10,27.672014
2006-02-11,27.684193
2006-02-12,27.65466
2006-02-13,27.667353
2006-02-14,27.706425
2006-02-15,27.747972
2006-02-16,27.857735
2006-02-17,27.85444
2006-02-18,27.803328
2006-02-19,27.776407
2006-02-20,27.849232
2006-02-21,27.807762
2006-02-22,27.827297
2006-02-23,27.796377
2006-02-24,27.860693
2006-02-25,27.851065
2006-02-26,27.933226
2006-02-27,27.95478
2006-02-28,27.917776
2006-03-01,27.8629
2006-03-02,27.89186
2006-03-03,27.944298
2006-03-04,28.117785
2006-03-05,28.187948
2006-03-06,28.350805
2006-03-07,28.291536
2006-03-08,28.365774
2006-03-09,28.405771
2006-03-10,28.604616
2006-03-11,28.630695
2006-03-12,28.603445
2006-03-13,28.630213
2006-03-14,28.616892
2006-03-15,28.599005
2006-03-16,28.577702
2006-03-17,28.530577
2006-03-18,28.48578
2006-03-19,28.465155
2006-03-20,28.460026
2006-03-21,28.47358
2006-03-22,28.633108
2006-03-23,28.614447
2006-03-24,28.531298
2006-03-25,28.657135
2006-03-26,28.657152
2006-03-27,28.676006
2006-03-28,28.937035
2006-03-29,28.969913
2006-03-30,29.078518
2006-03-31,29.107813
2006-04-01,29.112972
2006-04-02,29.090904
2006-04-03,29.05462
2006-04-04,29.018759
2006-04-05,29.041811
2006-04-06,29.14967
2006-04-07,29.275795
2006-04-08,29.353573
2006-04-09,29.39305
2006-04-10,29.52384
2006-04-11,29.598743
2006-04-12,29.762623
2006-04-13,29.865788
2006-04-14,29.860004
2006-04-15,30.047724
2006-04-16,29.919788
2006-04-17,29.906116
2006-04-18,29.945713
2006-04-19,30.071568
2006-04-20,29.94171
2006-04-21,29.980354
2006-04-22,30.151506
2006-04-23,30.180876
2006-04-24,30.117952
2006-04-25,29.954243
2006-04-26,29.866331
2006-04-27,29.757069
2006-04-28,29.641006
2006-04-29,29.551554
2006-04-30,29.505146
2006-05-01,29.5165
2006-05-02,29.515293
2006-05-03,29.564962
2006-05-04,29.69148
2006-05-05,29.6935
2006-05-06,29.727625
2006-05-07,29.775795
2006-05-08,29.869394
2006-05-09,29.887487
2006-05-10,29.927189
2006-05-11,29.978544
2006-05-12,30.026455
2006-05-13,30.020168
2006-05-14,30.00125
2006-05-15,29.994898
2006-05-16,29.914156
2006-05-17,29.856901
2006-05-18,29.770447
2006-05-19,29.672287
2006-05-20,29.557705
2006-05-21,29.492207
2006-05-22,29.444513
2006-05-23,29.385307
2006-05-24,29.33414
2006-05-25,29.283087
2006-05-26,29.224842
2006-05-27,29.164207
2006-05-28,29.109993
2006-05-29,29.067638
2006-05-30,29.017864
2006-05-31,28.984577
2006-06-01,28.967482
2006-06-02,28.955576
2006-06-03,28.95134
2006-06-04,28.941841
2006-06-05,28.935198
2006-06-06,28.922054
2006-06-07,28.94132
2006-06-08,28.96378
2006-06-09,28.982841
2006-06-10,28.99236
2006-06-11,29.039536
2006-06-12,29.073406
2006-06-13,29.102707
2006-06-14,29.135363
2006-06-15,29.150717
2006-06-16,29.1606
2006-06-17,29.225702
2006-06-18,29.220163
2006-06-19,29.179974
2006-06-20,29.129066
2006-06-21,29.06762
2006-06-22,29.048328
2006-06-23,29.04639
2006-06-24,29.074825
2006-06-25,29.040632
2006-06-26,28.995811
2006-06-27,28.9303
2006-06-28,28.871675
2006-06-29,28.851912
2006-06-30,28.84384
