time,DMI,Phase
2022-05-01,-0.122,Neutral
2022-06-01,-0.335,Neutral
2022-07-01,-0.195,Neutral
2022-08-01,-0.246,Neutral
2022-09-01,-0.322,Neutral
2022-10-01,-0.691,Negative
2022-11-01,-0.269,Neutral
2022-12-01,-0.092,Neutral
2023-01-01,0.109,Neutral
2023-02-01,0.157,Neutral
2023-03-01,0.415,Positive
2023-04-01,0.56,Positive
2023-05-01,0.443,Positive
2023-06-01,0.665,Positive
2023-07-01,0.498,Positive
2023-08-01,0.825,Positive
2023-09-01,0.946,Positive
2023-10-01,0.804,Positive
2023-11-01,0.92,Positive
2023-12-01,0.851,Positive
2024-01-01,0.765,Positive
2024-02-01,0.328,Neutral
2024-03-01,0.421,Positive
2024-04-01,0.44,Positive
2024-05-01,0.297,Neutral
2024-06-01,0.197,Neutral
2024-07-01,0.033,Neutral
2024-08-01,0.267,Neutral
2024-09-01,0.115,Neutral
2024-10-01,-0.196,Neutral
2024-11-01,-0.383,Neutral
2024-12-01,-0.331,Neutral
2025-01-01,-0.196,Neutral
2025-02-01,0.017,Neutral
2025-03-01,0.059,Neutral
2025-04-01,0.149,Neutral
