accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,region,horizon,model,split,positives,n
0.9513698630136986,0.0,0.0,0.0,0.4979314330909865,0.048465782008132,0.0486382426846072,north,3,climatology,test,,
0.7595890410958904,0.0104895104895104,0.0422535211267605,0.0168067226890756,0.3784463440107889,0.0470069873919289,0.2132666601395919,north,3,persistence,test,,
0.5739726027397261,0.0881913303437967,0.8309859154929577,0.1594594594594594,0.7023595858810168,0.0758400058737796,0.3190400556518581,north,3,logistic_regression,test,,
0.8856164383561644,0.0,0.0,0.0,0.5056314285581969,0.1159859667488246,0.1124300883521115,north,7,climatology,test,,
0.7116438356164384,0.0559440559440559,0.0958083832335329,0.0706401766004415,0.4062825624852383,0.1067643336805797,0.2628544801975533,north,7,persistence,test,,
0.4657534246575342,0.1505131128848346,0.7904191616766467,0.2528735632183908,0.6444929167187666,0.1548609696130085,0.3746170032740611,north,7,logistic_regression,test,,
0.7726027397260274,0.0,0.0,0.0,0.4804110057250277,0.2234749481339827,0.2194050417443462,north,14,climatology,test,,
0.6534246575342466,0.1958041958041958,0.1686746987951807,0.1812297734627831,0.4652346086473554,0.2185239489332108,0.3188281843681227,north,14,persistence,test,,
0.4198630136986301,0.2559241706161137,0.8132530120481928,0.3893294881038212,0.6119798342305393,0.2915309216142951,0.3846436978404142,north,14,logistic_regression,test,,
0.9554794520547946,0.0,0.0,0.0,0.5442238764819409,0.0530558482613277,0.0439693604604036,central,3,climatology,test,,
0.7643835616438356,0.0035587188612099,0.0153846153846153,0.0057803468208092,0.3917838433967467,0.0412949933537106,0.2057007603839498,central,3,persistence,test,,
0.7993150684931507,0.1415094339622641,0.6923076923076923,0.2349869451697128,0.8404962779156329,0.1865994502525348,0.1472413657781031,central,3,logistic_regression,test,,
0.8952054794520548,0.0,0.0,0.0,0.5299543433797901,0.1129191386560231,0.1022169084866661,central,7,climatology,test,,
0.7095890410958904,0.0177935943060498,0.0326797385620915,0.0230414746543778,0.4149601692245375,0.0938047603068966,0.2581540932893851,central,7,persistence,test,,
0.6006849315068493,0.1865889212827988,0.8366013071895425,0.3051251489868891,0.7282655985117843,0.1885583042509305,0.2753970480878405,central,7,logistic_regression,test,,
0.7938356164383562,0.0,0.0,0.0,0.4874906480841829,0.2029971035881699,0.1983342789981357,central,14,climatology,test,,
0.6410958904109589,0.1032028469750889,0.0963455149501661,0.0996563573883161,0.4235665412100591,0.1876837665375038,0.3279608577285733,central,14,persistence,test,,
0.5226027397260274,0.2692307692307692,0.7674418604651163,0.3986194995685936,0.6062850607265399,0.242008306795929,0.3414981329634876,central,14,logistic_regression,test,,
0.9815068493150684,0.0,0.0,0.0,0.5100798635341552,0.018963608689636,0.0188579071086974,south,3,climatology,test,,
0.7897260273972603,0.0035460992907801,0.037037037037037,0.0064724919093851,0.4115298131348375,0.0175319398237024,0.1945469859702161,south,3,persistence,test,,
0.7315068493150685,0.0537897310513447,0.8148148148148148,0.1009174311926605,0.820862732935308,0.0556592094856151,0.187857388368948,south,3,logistic_regression,test,,
0.9568493150684932,0.0,0.0,0.0,0.5199293270159412,0.0453849368722167,0.0430534165518359,south,7,climatology,test,,
0.7705479452054794,0.0177304964539007,0.0793650793650793,0.0289855072463768,0.4459669814000522,0.0400854760827288,0.2126969067236408,south,7,persistence,test,,
0.5136986301369864,0.0669344042838018,0.7936507936507936,0.1234567901234567,0.6666553044505801,0.0598678029894742,0.3351612921544854,south,7,logistic_regression,test,,
0.9136986301369864,0.0,0.0,0.0,0.5326027462459247,0.0931481109483921,0.0824754802626246,south,14,climatology,test,,
0.736986301369863,0.0425531914893617,0.0952380952380952,0.0588235294117647,0.4503343566312082,0.0794952961270659,0.2466721371191335,south,14,persistence,test,,
0.4931506849315068,0.1310096153846154,0.8650793650793651,0.2275574112734864,0.6693795959163275,0.1239554156640726,0.3566184802661524,south,14,logistic_regression,test,,
0.9465753424657535,0.29411764705882354,0.07042253521126761,0.11363636363636363,0.8109745586550259,0.1787700607305281,0.04735041430235589,north,3,gradient_boosting,test,71.0,1460.0
0.9164383561643835,0.16,0.16901408450704225,0.1643835616438356,0.8097324045062311,0.1612712470896036,0.0695373139337286,north,3,random_forest,test,71.0,1460.0
0.9493150684931507,0.2857142857142857,0.028169014084507043,0.05128205128205128,0.7626319471907036,0.16067226361991663,0.04645837603801538,north,3,xgboost,test,71.0,1460.0
0.873972602739726,0.18518518518518517,0.029940119760479042,0.05154639175257732,0.6135455307482482,0.17086259792964545,0.1108196649385266,north,7,gradient_boosting,test,167.0,1460.0
0.8232876712328767,0.2064516129032258,0.19161676646706588,0.19875776397515527,0.6451875830705178,0.22054575391993658,0.13646264775218356,north,7,random_forest,test,167.0,1460.0
0.8897260273972603,0.6666666666666666,0.0718562874251497,0.12972972972972974,0.5919136205547143,0.2127541508049014,0.1053563810084936,north,7,xgboost,test,167.0,1460.0
0.7561643835616438,0.2692307692307692,0.04216867469879518,0.07291666666666667,0.49478899641117663,0.22229511289229942,0.21501372052316434,north,14,gradient_boosting,test,332.0,1460.0
0.7219178082191781,0.26875,0.12951807228915663,0.17479674796747968,0.5630500726309493,0.2964700914593198,0.1915453356316955,north,14,random_forest,test,332.0,1460.0
0.7732876712328767,0.5384615384615384,0.02108433734939759,0.04057971014492753,0.4997276339400153,0.2549834630332942,0.21187040400816334,north,14,xgboost,test,332.0,1460.0
0.952054794520548,0.2222222222222222,0.03076923076923077,0.05405405405405406,0.8281940998070031,0.15712070118133817,0.045358271950739784,central,3,gradient_boosting,test,65.0,1460.0
0.952054794520548,0.35294117647058826,0.09230769230769231,0.14634146341463414,0.8622387648194102,0.21089840670714718,0.04100096358299063,central,3,random_forest,test,65.0,1460.0
0.9547945205479452,0.4,0.03076923076923077,0.05714285714285714,0.7638047973531845,0.17831979986608673,0.042853781768774746,central,3,xgboost,test,65.0,1460.0
0.8828767123287671,0.05,0.006535947712418301,0.011560693641618497,0.6982837511439158,0.18136307797573617,0.10690008742082091,central,7,gradient_boosting,test,153.0,1460.0
0.8924657534246575,0.4523809523809524,0.12418300653594772,0.19487179487179487,0.7354566412129758,0.27846218174719095,0.08846209880663224,central,7,random_forest,test,153.0,1460.0
0.9006849315068494,0.7857142857142857,0.0718954248366013,0.1317365269461078,0.6653114701631737,0.2468457317657412,0.09707070562618772,central,7,xgboost,test,153.0,1460.0
0.7787671232876713,0.28846153846153844,0.04983388704318937,0.08498583569405099,0.6563869643609597,0.29997697366501785,0.20009321623376664,central,14,gradient_boosting,test,301.0,1460.0
0.7794520547945205,0.36363636363636365,0.09302325581395349,0.14814814814814814,0.6196084951226712,0.2796002029350211,0.1749128573041886,central,14,random_forest,test,301.0,1460.0
0.7815068493150685,0.29545454545454547,0.04318936877076412,0.07536231884057971,0.6017646097707097,0.2673563613630019,0.19738974721160654,central,14,xgboost,test,301.0,1460.0
0.976027397260274,0.16666666666666666,0.07407407407407407,0.10256410256410256,0.8459848543588948,0.11683702024230794,0.02017893920000462,south,3,gradient_boosting,test,27.0,1460.0
0.9643835616438357,0.0967741935483871,0.1111111111111111,0.10344827586206896,0.8610529580522601,0.17164715783225604,0.027183258370055488,south,3,random_forest,test,27.0,1460.0
0.9828767123287672,1.0,0.07407407407407407,0.13793103448275862,0.8037528107311778,0.16079160532108205,0.017378496032666613,south,3,xgboost,test,27.0,1460.0
0.9267123287671233,0.17647058823529413,0.19047619047619047,0.183206106870229,0.780652418447694,0.1293749364431594,0.05928399290588256,south,7,gradient_boosting,test,63.0,1460.0
0.936986301369863,0.16279069767441862,0.1111111111111111,0.1320754716981132,0.8365090727295452,0.1807024636694318,0.04813944289458662,south,7,random_forest,test,63.0,1460.0
0.9568493150684931,0.0,0.0,0.0,0.8024565111179285,0.152916323602582,0.04174873229609452,south,7,xgboost,test,63.0,1460.0
0.9178082191780822,0.875,0.05555555555555555,0.1044776119402985,0.8127662359296542,0.3012752647548657,0.07632394555401911,south,14,gradient_boosting,test,126.0,1460.0
0.8924657534246575,0.2876712328767123,0.16666666666666666,0.21105527638190955,0.8387532424264059,0.2543673532006969,0.0764327085775282,south,14,random_forest,test,126.0,1460.0
0.915068493150685,0.625,0.03968253968253968,0.07462686567164178,0.8026046500559244,0.310450599636802,0.07817170523546618,south,14,xgboost,test,126.0,1460.0
