accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,positives,n,region,horizon,model,split
0.9465753424657535,0.29411764705882354,0.07042253521126761,0.11363636363636363,0.8109745586550259,0.1787700607305281,0.04735041430235589,71,1460,north,3,gradient_boosting,test
0.9164383561643835,0.16,0.16901408450704225,0.1643835616438356,0.8097324045062311,0.1612712470896036,0.0695373139337286,71,1460,north,3,random_forest,test
0.9493150684931507,0.2857142857142857,0.028169014084507043,0.05128205128205128,0.7626319471907036,0.16067226361991663,0.04645837603801538,71,1460,north,3,xgboost,test
0.873972602739726,0.18518518518518517,0.029940119760479042,0.05154639175257732,0.6135455307482482,0.17086259792964545,0.1108196649385266,167,1460,north,7,gradient_boosting,test
0.8232876712328767,0.2064516129032258,0.19161676646706588,0.19875776397515527,0.6451875830705178,0.22054575391993658,0.13646264775218356,167,1460,north,7,random_forest,test
0.8897260273972603,0.6666666666666666,0.0718562874251497,0.12972972972972974,0.5919136205547143,0.2127541508049014,0.1053563810084936,167,1460,north,7,xgboost,test
0.7561643835616438,0.2692307692307692,0.04216867469879518,0.07291666666666667,0.49478899641117663,0.22229511289229942,0.21501372052316434,332,1460,north,14,gradient_boosting,test
0.7219178082191781,0.26875,0.12951807228915663,0.17479674796747968,0.5630500726309493,0.2964700914593198,0.1915453356316955,332,1460,north,14,random_forest,test
0.7732876712328767,0.5384615384615384,0.02108433734939759,0.04057971014492753,0.4997276339400153,0.2549834630332942,0.21187040400816334,332,1460,north,14,xgboost,test
0.952054794520548,0.2222222222222222,0.03076923076923077,0.05405405405405406,0.8281940998070031,0.15712070118133817,0.045358271950739784,65,1460,central,3,gradient_boosting,test
0.952054794520548,0.35294117647058826,0.09230769230769231,0.14634146341463414,0.8622387648194102,0.21089840670714718,0.04100096358299063,65,1460,central,3,random_forest,test
0.9547945205479452,0.4,0.03076923076923077,0.05714285714285714,0.7638047973531845,0.17831979986608673,0.042853781768774746,65,1460,central,3,xgboost,test
0.8828767123287671,0.05,0.006535947712418301,0.011560693641618497,0.6982837511439158,0.18136307797573617,0.10690008742082091,153,1460,central,7,gradient_boosting,test
0.8924657534246575,0.4523809523809524,0.12418300653594772,0.19487179487179487,0.7354566412129758,0.27846218174719095,0.08846209880663224,153,1460,central,7,random_forest,test
0.9006849315068494,0.7857142857142857,0.0718954248366013,0.1317365269461078,0.6653114701631737,0.2468457317657412,0.09707070562618772,153,1460,central,7,xgboost,test
0.7787671232876713,0.28846153846153844,0.04983388704318937,0.08498583569405099,0.6563869643609597,0.29997697366501785,0.20009321623376664,301,1460,central,14,gradient_boosting,test
0.7794520547945205,0.36363636363636365,0.09302325581395349,0.14814814814814814,0.6196084951226712,0.2796002029350211,0.1749128573041886,301,1460,central,14,random_forest,test
0.7815068493150685,0.29545454545454547,0.04318936877076412,0.07536231884057971,0.6017646097707097,0.2673563613630019,0.19738974721160654,301,1460,central,14,xgboost,test
0.976027397260274,0.16666666666666666,0.07407407407407407,0.10256410256410256,0.8459848543588948,0.11683702024230794,0.02017893920000462,27,1460,south,3,gradient_boosting,test
0.9643835616438357,0.0967741935483871,0.1111111111111111,0.10344827586206896,0.8610529580522601,0.17164715783225604,0.027183258370055488,27,1460,south,3,random_forest,test
0.9828767123287672,1.0,0.07407407407407407,0.13793103448275862,0.8037528107311778,0.16079160532108205,0.017378496032666613,27,1460,south,3,xgboost,test
0.9267123287671233,0.17647058823529413,0.19047619047619047,0.183206106870229,0.780652418447694,0.1293749364431594,0.05928399290588256,63,1460,south,7,gradient_boosting,test
0.936986301369863,0.16279069767441862,0.1111111111111111,0.1320754716981132,0.8365090727295452,0.1807024636694318,0.04813944289458662,63,1460,south,7,random_forest,test
0.9568493150684931,0.0,0.0,0.0,0.8024565111179285,0.152916323602582,0.04174873229609452,63,1460,south,7,xgboost,test
0.9178082191780822,0.875,0.05555555555555555,0.1044776119402985,0.8127662359296542,0.3012752647548657,0.07632394555401911,126,1460,south,14,gradient_boosting,test
0.8924657534246575,0.2876712328767123,0.16666666666666666,0.21105527638190955,0.8387532424264059,0.2543673532006969,0.0764327085775282,126,1460,south,14,random_forest,test
0.915068493150685,0.625,0.03968253968253968,0.07462686567164178,0.8026046500559244,0.310450599636802,0.07817170523546618,126,1460,south,14,xgboost,test
