Category,Events,Percentage
Strong El Nino,0,0.0
Moderate El Nino,5,10.2
Weak El Nino,3,6.12
Neutral,13,26.53
Weak La Nina,10,20.41
Moderate La Nina,17,34.69
Strong La Nina,1,2.04
